### Cluster 45 — Symptoms (134)
Symptom,Frequency
restlessness of limbs,1
pressive pain in liver region,1
whites of eyes yellow,1
pressive pain in left neck muscles,1
rheumatic attack of arms with jaundice,1
lancinating pain in heart region,1
sternum pain worse on inspiration,1
cutting pains in calves,1
hard pressive pain below patella,2
fixed pain beneath right scapula,1
neck feels as if constricted by hand,1
drawing pain from right shoulder to wrist,1
eyes protuberant,1
aching soreness in vertebrae,2
pain extends into deltoid muscle,1
eyes burning,1
shooting pain in right hip,1
violent stitches in right thorax,2

### Top Remedies
Remedy,Symptoms_Covered
chelidonium,134
osmium,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
limbs feel heavy,heaviness in nape muscles,1.0,1
limbs feel heavy,severe pains under left scapula,1.0,1
limbs feel heavy,violent pain under seventh rib,1.0,1
limbs feel heavy,stiffness of right knee,1.0,1
limbs feel heavy,tearing in metacarpal bones,1.0,1
limbs feel heavy,limbs feel stiff,1.0,1
limbs feel heavy,coldness of left arm,1.0,1
limbs feel heavy,pain behind sternum,1.0,1
limbs feel heavy,oedema,1.0,1
limbs feel heavy,sensation as if lower lumbar vertebrae would separate,1.0,1
limbs feel heavy,bitter taste when drinking,1.0,1
limbs feel heavy,violent pain in knee,1.0,1
limbs feel heavy,vertebrae separation sensation on stooping,1.0,1
limbs feel heavy,sensation as if abdomen constricted with string,1.0,1
limbs feel heavy,violent tearing pains in limbs,1.0,1
limbs feel heavy,ankle hardest on inner side,1.0,1
limbs feel heavy,neck feels as if broken,1.0,1
limbs feel heavy,pulse full,1.0,1
limbs feel heavy,thorax stitches worse on inspiration,1.0,1
limbs feel heavy,pain in cervical muscles,1.0,1
limbs feel heavy,hands hot,1.0,1
limbs feel heavy,drawing in occiput,1.0,1
limbs feel heavy,stiffness of wrists,1.0,1
limbs feel heavy,drawing in nape,1.0,1
limbs feel heavy,paralytic pain in left shoulder,1.0,1
limbs feel heavy,hip pain extends to feet,1.0,1
limbs feel heavy,thorax stitches worse on motion,1.0,1
limbs feel heavy,pain in right clavicle,1.0,1
limbs feel heavy,rheumatic troubles about chest,1.0,1
limbs feel heavy,sensation of sand in eye,1.0,1
limbs feel heavy,urine dark yellow,1.0,1
limbs feel heavy,oedema from venous congestion,1.0,1
limbs feel heavy,violent tearing pains in back,1.0,1
limbs feel heavy,pain under right shoulder blade,1.0,1
limbs feel heavy,stiffness of right neck muscles,1.0,1
limbs feel heavy,sole cramps worse by putting foot down,1.0,1
limbs feel heavy,hip pain worse on right side,1.0,1
limbs feel heavy,severe pain in spine between shoulders,1.0,1
limbs feel heavy,amaurosis from rheumatic troubles,1.0,1
limbs feel heavy,anxious,1.0,1
limbs feel heavy,sensation as if weights hung on right leg,1.0,1
limbs feel heavy,lancinating pains in pectoral muscles,1.0,1
limbs feel heavy,head drawn to left,1.0,1
limbs feel heavy,stitches in right side of chest,1.0,1
limbs feel heavy,pressing pain beneath right scapula,1.0,1
limbs feel heavy,pain across umbilicus,1.0,1
limbs feel heavy,rose-red elastic swelling,1.0,1
limbs feel heavy,fingertips cold,1.0,1
limbs feel heavy,violent pain in popliteal space,1.0,1
limbs feel heavy,tightness of chest,1.0,1
limbs feel heavy,urine milky,1.0,1
limbs feel heavy,foot oedematous,1.0,1
limbs feel heavy,associated with hepatic affections,1.0,1
limbs feel heavy,yellow nose,1.0,1
limbs feel heavy,cutting pains in arms,1.0,1
limbs feel heavy,shoulder pain from scapula,1.0,1
limbs feel heavy,rheumatic troubles about abdomen,1.0,1
limbs feel heavy,left half of neck stiff,1.0,1
limbs feel heavy,pressure extending to neck,1.0,1
limbs feel heavy,pulse hard,1.0,1
limbs feel heavy,hip pain extends to legs,1.0,1
limbs feel heavy,paralytic pain in left arm,1.0,1
limbs feel heavy,tongue thickly coated yellow,1.0,1
limbs feel heavy,intellect dull,1.0,1
limbs feel heavy,swelling of elbows,1.0,1
limbs feel heavy,vertebrae soreness worse by motion,1.0,1
limbs feel heavy,antidotes bryonia,1.0,1
limbs feel heavy,constant pain under right scapula,1.0,1
limbs feel heavy,bitter taste when eating,1.0,1
limbs feel heavy,rose-coloured elastic swelling of ankle joints,1.0,1
limbs feel heavy,finger pain worse by pressure,1.0,1
limbs feel heavy,pain over elbow joint,1.0,1
limbs feel heavy,burning in right knee,1.0,1
limbs feel heavy,patient sensitive to touch,1.0,1
limbs feel heavy,face yellow,1.0,1
limbs feel heavy,yellow forehead,1.0,1
limbs feel heavy,pain extends into chest,1.0,1
limbs feel heavy,stiffness of cervical muscles,1.0,1
limbs feel heavy,trembling of knees,1.0,1
limbs feel heavy,urine turbid,1.0,1
limbs feel heavy,periodic tightness in chest,1.0,1
limbs feel heavy,tension in occiput,1.0,1
limbs feel heavy,heaviness in occiput,1.0,1
limbs feel heavy,spasmodic drawing pains in inguinal regions,1.0,1
limbs feel heavy,pain extends into stomach,1.0,1
limbs feel heavy,oedema mostly about ankle,1.0,1
limbs feel heavy,eyes red,1.0,1
limbs feel heavy,cramps in soles of feet,1.0,1
limbs feel heavy,soreness in right chest,1.0,1
limbs feel heavy,hip pain extends to abdomen,1.0,1
limbs feel heavy,violent pains in right shoulder joint,1.0,1
limbs feel heavy,sprained pain in left shoulder,1.0,1
limbs feel heavy,pain in chest along sternum,1.0,1
limbs feel heavy,yellow cheeks,1.0,1
limbs feel heavy,deep-seated pain in right chest,1.0,1
limbs feel heavy,indifferent,1.0,1
limbs feel heavy,veins of hands swollen,1.0,1
limbs feel heavy,paralytic heaviness of arms,1.0,1
limbs feel heavy,tension in nape muscles,1.0,1
limbs feel heavy,legs swollen,1.0,1
limbs feel heavy,thorax stitches worse on cough,1.0,1
limbs feel heavy,tearing pains from nape to sacrum,1.0,1
limbs feel heavy,drawing from sacrum to right scrobiculum,1.0,1
limbs feel heavy,limbs feel lame,1.0,1
limbs feel heavy,vertebrae soreness worse on pressure,1.0,1
limbs feel heavy,intellect impaired,1.0,1
limbs feel heavy,pain in heel as if pinched,1.0,1
limbs feel heavy,constrictive pressure below left clavicle,1.0,1
limbs feel heavy,full heavy feeling in abdomen,1.0,1
limbs feel heavy,urine profuse,1.0,1
limbs feel heavy,cutting pain in arms,1.0,1
limbs feel heavy,reduced freedom of arm use,1.0,1
limbs feel heavy,back pains worse from touch,1.0,1
limbs feel heavy,oppressive pain beneath right scapula,1.0,1
limbs feel heavy,stitches beneath right scapula,1.0,1
limbs feel heavy,restlessness of limbs,1.0,1
limbs feel heavy,pressive pain in liver region,1.0,1
limbs feel heavy,whites of eyes yellow,1.0,1
limbs feel heavy,pressive pain in left neck muscles,1.0,1
limbs feel heavy,rheumatic attack of arms with jaundice,1.0,1
limbs feel heavy,lancinating pain in heart region,1.0,1
limbs feel heavy,sternum pain worse on inspiration,1.0,1
limbs feel heavy,cutting pains in calves,1.0,1
limbs feel heavy,hard pressive pain below patella,1.0,1
limbs feel heavy,fixed pain beneath right scapula,1.0,1
limbs feel heavy,neck feels as if constricted by hand,1.0,1
limbs feel heavy,drawing pain from right shoulder to wrist,1.0,1
limbs feel heavy,eyes protuberant,1.0,1
limbs feel heavy,aching soreness in vertebrae,1.0,1
limbs feel heavy,pain extends into deltoid muscle,1.0,1
limbs feel heavy,eyes burning,1.0,1
limbs feel heavy,shooting pain in right hip,1.0,1
limbs feel heavy,violent stitches in right thorax,1.0,1
face yellow,heaviness in nape muscles,1.0,1
face yellow,severe pains under left scapula,1.0,1
face yellow,violent pain under seventh rib,1.0,1
face yellow,stiffness of right knee,1.0,1
face yellow,tearing in metacarpal bones,1.0,1
face yellow,limbs feel stiff,1.0,1
face yellow,coldness of left arm,1.0,1
face yellow,pain behind sternum,1.0,1
face yellow,oedema,1.0,1
face yellow,sensation as if lower lumbar vertebrae would separate,1.0,1
face yellow,bitter taste when drinking,1.0,1
face yellow,violent pain in knee,1.0,1
face yellow,vertebrae separation sensation on stooping,1.0,1
face yellow,sensation as if abdomen constricted with string,1.0,1
face yellow,violent tearing pains in limbs,1.0,1
face yellow,ankle hardest on inner side,1.0,1
face yellow,neck feels as if broken,1.0,1
face yellow,pulse full,1.0,1
face yellow,thorax stitches worse on inspiration,1.0,1
face yellow,pain in cervical muscles,1.0,1
face yellow,limbs feel heavy,1.0,1
face yellow,hands hot,1.0,1
face yellow,drawing in occiput,1.0,1
face yellow,stiffness of wrists,1.0,1
face yellow,drawing in nape,1.0,1
face yellow,paralytic pain in left shoulder,1.0,1
face yellow,hip pain extends to feet,1.0,1
face yellow,thorax stitches worse on motion,1.0,1
face yellow,pain in right clavicle,1.0,1
face yellow,rheumatic troubles about chest,1.0,1
face yellow,sensation of sand in eye,1.0,1
face yellow,urine dark yellow,1.0,1
face yellow,oedema from venous congestion,1.0,1
face yellow,violent tearing pains in back,1.0,1
face yellow,pain under right shoulder blade,1.0,1
face yellow,stiffness of right neck muscles,1.0,1
face yellow,sole cramps worse by putting foot down,1.0,1
face yellow,hip pain worse on right side,1.0,1
face yellow,severe pain in spine between shoulders,1.0,1
face yellow,amaurosis from rheumatic troubles,1.0,1
face yellow,anxious,1.0,1
face yellow,sensation as if weights hung on right leg,1.0,1
face yellow,lancinating pains in pectoral muscles,1.0,1
face yellow,head drawn to left,1.0,1
face yellow,stitches in right side of chest,1.0,1
face yellow,pressing pain beneath right scapula,1.0,1
face yellow,pain across umbilicus,1.0,1
face yellow,rose-red elastic swelling,1.0,1
face yellow,fingertips cold,1.0,1
face yellow,violent pain in popliteal space,1.0,1
face yellow,tightness of chest,1.0,1
face yellow,urine milky,1.0,1
face yellow,foot oedematous,1.0,1
face yellow,associated with hepatic affections,1.0,1
face yellow,yellow nose,1.0,1
face yellow,cutting pains in arms,1.0,1
face yellow,shoulder pain from scapula,1.0,1
face yellow,rheumatic troubles about abdomen,1.0,1
face yellow,left half of neck stiff,1.0,1
face yellow,pressure extending to neck,1.0,1
face yellow,pulse hard,1.0,1
face yellow,hip pain extends to legs,1.0,1
face yellow,paralytic pain in left arm,1.0,1
face yellow,tongue thickly coated yellow,1.0,1
face yellow,intellect dull,1.0,1
face yellow,swelling of elbows,1.0,1
face yellow,vertebrae soreness worse by motion,1.0,1
face yellow,antidotes bryonia,1.0,1
face yellow,constant pain under right scapula,1.0,1
face yellow,bitter taste when eating,1.0,1
face yellow,rose-coloured elastic swelling of ankle joints,1.0,1
face yellow,finger pain worse by pressure,1.0,1
face yellow,pain over elbow joint,1.0,1
face yellow,burning in right knee,1.0,1
face yellow,patient sensitive to touch,1.0,1
face yellow,yellow forehead,1.0,1
face yellow,pain extends into chest,1.0,1
face yellow,stiffness of cervical muscles,1.0,1
face yellow,trembling of knees,1.0,1
face yellow,urine turbid,1.0,1
face yellow,periodic tightness in chest,1.0,1
face yellow,tension in occiput,1.0,1
face yellow,heaviness in occiput,1.0,1
face yellow,spasmodic drawing pains in inguinal regions,1.0,1
face yellow,pain extends into stomach,1.0,1
face yellow,oedema mostly about ankle,1.0,1
face yellow,eyes red,1.0,1
face yellow,cramps in soles of feet,1.0,1
face yellow,soreness in right chest,1.0,1
face yellow,hip pain extends to abdomen,1.0,1
face yellow,violent pains in right shoulder joint,1.0,1
face yellow,sprained pain in left shoulder,1.0,1
face yellow,pain in chest along sternum,1.0,1
face yellow,yellow cheeks,1.0,1
face yellow,deep-seated pain in right chest,1.0,1
face yellow,indifferent,1.0,1
face yellow,veins of hands swollen,1.0,1
face yellow,paralytic heaviness of arms,1.0,1
face yellow,tension in nape muscles,1.0,1
face yellow,legs swollen,1.0,1
face yellow,thorax stitches worse on cough,1.0,1
face yellow,tearing pains from nape to sacrum,1.0,1
face yellow,drawing from sacrum to right scrobiculum,1.0,1
face yellow,limbs feel lame,1.0,1
face yellow,vertebrae soreness worse on pressure,1.0,1
face yellow,intellect impaired,1.0,1
face yellow,pain in heel as if pinched,1.0,1
face yellow,constrictive pressure below left clavicle,1.0,1
face yellow,full heavy feeling in abdomen,1.0,1
face yellow,urine profuse,1.0,1
face yellow,cutting pain in arms,1.0,1
face yellow,reduced freedom of arm use,1.0,1
face yellow,back pains worse from touch,1.0,1
face yellow,oppressive pain beneath right scapula,1.0,1
face yellow,stitches beneath right scapula,1.0,1
face yellow,restlessness of limbs,1.0,1
face yellow,pressive pain in liver region,1.0,1
face yellow,whites of eyes yellow,1.0,1
face yellow,pressive pain in left neck muscles,1.0,1
face yellow,rheumatic attack of arms with jaundice,1.0,1
face yellow,lancinating pain in heart region,1.0,1
face yellow,sternum pain worse on inspiration,1.0,1
face yellow,cutting pains in calves,1.0,1
face yellow,hard pressive pain below patella,1.0,1
face yellow,fixed pain beneath right scapula,1.0,1
face yellow,neck feels as if constricted by hand,1.0,1
face yellow,drawing pain from right shoulder to wrist,1.0,1
face yellow,eyes protuberant,1.0,1
face yellow,aching soreness in vertebrae,1.0,1
face yellow,pain extends into deltoid muscle,1.0,1
face yellow,eyes burning,1.0,1
face yellow,shooting pain in right hip,1.0,1
face yellow,violent stitches in right thorax,1.0,1
heaviness in nape muscles,severe pains under left scapula,1.0,1
heaviness in nape muscles,violent pain under seventh rib,1.0,1
heaviness in nape muscles,stiffness of right knee,1.0,1
heaviness in nape muscles,tearing in metacarpal bones,1.0,1
heaviness in nape muscles,limbs feel stiff,1.0,1
heaviness in nape muscles,coldness of left arm,1.0,1
heaviness in nape muscles,pain behind sternum,1.0,1
heaviness in nape muscles,oedema,1.0,1
heaviness in nape muscles,sensation as if lower lumbar vertebrae would separate,1.0,1
heaviness in nape muscles,bitter taste when drinking,1.0,1
heaviness in nape muscles,violent pain in knee,1.0,1
heaviness in nape muscles,vertebrae separation sensation on stooping,1.0,1
heaviness in nape muscles,sensation as if abdomen constricted with string,1.0,1
heaviness in nape muscles,violent tearing pains in limbs,1.0,1
heaviness in nape muscles,ankle hardest on inner side,1.0,1
heaviness in nape muscles,neck feels as if broken,1.0,1
heaviness in nape muscles,pulse full,1.0,1
heaviness in nape muscles,thorax stitches worse on inspiration,1.0,1
heaviness in nape muscles,pain in cervical muscles,1.0,1
heaviness in nape muscles,limbs feel heavy,1.0,1
heaviness in nape muscles,hands hot,1.0,1
heaviness in nape muscles,drawing in occiput,1.0,1
heaviness in nape muscles,stiffness of wrists,1.0,1
heaviness in nape muscles,drawing in nape,1.0,1
heaviness in nape muscles,paralytic pain in left shoulder,1.0,1
heaviness in nape muscles,hip pain extends to feet,1.0,1
heaviness in nape muscles,thorax stitches worse on motion,1.0,1
heaviness in nape muscles,pain in right clavicle,1.0,1
heaviness in nape muscles,rheumatic troubles about chest,1.0,1
heaviness in nape muscles,sensation of sand in eye,1.0,1
heaviness in nape muscles,urine dark yellow,1.0,1
heaviness in nape muscles,oedema from venous congestion,1.0,1
heaviness in nape muscles,violent tearing pains in back,1.0,1
heaviness in nape muscles,pain under right shoulder blade,1.0,1
heaviness in nape muscles,stiffness of right neck muscles,1.0,1
heaviness in nape muscles,sole cramps worse by putting foot down,1.0,1
heaviness in nape muscles,hip pain worse on right side,1.0,1
heaviness in nape muscles,severe pain in spine between shoulders,1.0,1
heaviness in nape muscles,amaurosis from rheumatic troubles,1.0,1
heaviness in nape muscles,anxious,1.0,1
heaviness in nape muscles,sensation as if weights hung on right leg,1.0,1
heaviness in nape muscles,lancinating pains in pectoral muscles,1.0,1
heaviness in nape muscles,head drawn to left,1.0,1
heaviness in nape muscles,stitches in right side of chest,1.0,1
heaviness in nape muscles,pressing pain beneath right scapula,1.0,1
heaviness in nape muscles,pain across umbilicus,1.0,1
heaviness in nape muscles,rose-red elastic swelling,1.0,1
heaviness in nape muscles,fingertips cold,1.0,1
heaviness in nape muscles,violent pain in popliteal space,1.0,1
heaviness in nape muscles,tightness of chest,1.0,1
heaviness in nape muscles,urine milky,1.0,1
heaviness in nape muscles,foot oedematous,1.0,1
heaviness in nape muscles,associated with hepatic affections,1.0,1
heaviness in nape muscles,yellow nose,1.0,1
heaviness in nape muscles,cutting pains in arms,1.0,1
heaviness in nape muscles,shoulder pain from scapula,1.0,1
heaviness in nape muscles,rheumatic troubles about abdomen,1.0,1
heaviness in nape muscles,left half of neck stiff,1.0,1
heaviness in nape muscles,pressure extending to neck,1.0,1
heaviness in nape muscles,pulse hard,1.0,1
heaviness in nape muscles,hip pain extends to legs,1.0,1
heaviness in nape muscles,paralytic pain in left arm,1.0,1
heaviness in nape muscles,tongue thickly coated yellow,1.0,1
heaviness in nape muscles,intellect dull,1.0,1
heaviness in nape muscles,swelling of elbows,1.0,1
heaviness in nape muscles,vertebrae soreness worse by motion,1.0,1
heaviness in nape muscles,antidotes bryonia,1.0,1
heaviness in nape muscles,constant pain under right scapula,1.0,1
heaviness in nape muscles,bitter taste when eating,1.0,1
heaviness in nape muscles,rose-coloured elastic swelling of ankle joints,1.0,1
heaviness in nape muscles,finger pain worse by pressure,1.0,1
heaviness in nape muscles,pain over elbow joint,1.0,1
heaviness in nape muscles,burning in right knee,1.0,1
heaviness in nape muscles,patient sensitive to touch,1.0,1
heaviness in nape muscles,face yellow,1.0,1
heaviness in nape muscles,yellow forehead,1.0,1
heaviness in nape muscles,pain extends into chest,1.0,1
heaviness in nape muscles,stiffness of cervical muscles,1.0,1
heaviness in nape muscles,trembling of knees,1.0,1
heaviness in nape muscles,urine turbid,1.0,1
heaviness in nape muscles,periodic tightness in chest,1.0,1
heaviness in nape muscles,tension in occiput,1.0,1
heaviness in nape muscles,heaviness in occiput,1.0,1
heaviness in nape muscles,spasmodic drawing pains in inguinal regions,1.0,1
heaviness in nape muscles,pain extends into stomach,1.0,1
heaviness in nape muscles,oedema mostly about ankle,1.0,1
heaviness in nape muscles,eyes red,1.0,1
heaviness in nape muscles,cramps in soles of feet,1.0,1
heaviness in nape muscles,soreness in right chest,1.0,1
heaviness in nape muscles,hip pain extends to abdomen,1.0,1
heaviness in nape muscles,violent pains in right shoulder joint,1.0,1
heaviness in nape muscles,sprained pain in left shoulder,1.0,1
heaviness in nape muscles,pain in chest along sternum,1.0,1
heaviness in nape muscles,yellow cheeks,1.0,1
heaviness in nape muscles,deep-seated pain in right chest,1.0,1
heaviness in nape muscles,indifferent,1.0,1
heaviness in nape muscles,veins of hands swollen,1.0,1
heaviness in nape muscles,paralytic heaviness of arms,1.0,1
heaviness in nape muscles,tension in nape muscles,1.0,1
heaviness in nape muscles,legs swollen,1.0,1
heaviness in nape muscles,thorax stitches worse on cough,1.0,1
heaviness in nape muscles,tearing pains from nape to sacrum,1.0,1
heaviness in nape muscles,drawing from sacrum to right scrobiculum,1.0,1
heaviness in nape muscles,limbs feel lame,1.0,1
heaviness in nape muscles,vertebrae soreness worse on pressure,1.0,1
heaviness in nape muscles,intellect impaired,1.0,1
heaviness in nape muscles,pain in heel as if pinched,1.0,1
heaviness in nape muscles,constrictive pressure below left clavicle,1.0,1
heaviness in nape muscles,full heavy feeling in abdomen,1.0,1
heaviness in nape muscles,urine profuse,1.0,1
heaviness in nape muscles,cutting pain in arms,1.0,1
heaviness in nape muscles,reduced freedom of arm use,1.0,1
heaviness in nape muscles,back pains worse from touch,1.0,1
heaviness in nape muscles,oppressive pain beneath right scapula,1.0,1
heaviness in nape muscles,stitches beneath right scapula,1.0,1
heaviness in nape muscles,restlessness of limbs,1.0,1
heaviness in nape muscles,pressive pain in liver region,1.0,1
heaviness in nape muscles,whites of eyes yellow,1.0,1
heaviness in nape muscles,pressive pain in left neck muscles,1.0,1
heaviness in nape muscles,rheumatic attack of arms with jaundice,1.0,1
heaviness in nape muscles,lancinating pain in heart region,1.0,1
heaviness in nape muscles,sternum pain worse on inspiration,1.0,1
heaviness in nape muscles,cutting pains in calves,1.0,1
heaviness in nape muscles,hard pressive pain below patella,1.0,1
heaviness in nape muscles,fixed pain beneath right scapula,1.0,1
heaviness in nape muscles,neck feels as if constricted by hand,1.0,1
heaviness in nape muscles,drawing pain from right shoulder to wrist,1.0,1
heaviness in nape muscles,eyes protuberant,1.0,1
heaviness in nape muscles,aching soreness in vertebrae,1.0,1
heaviness in nape muscles,pain extends into deltoid muscle,1.0,1
heaviness in nape muscles,eyes burning,1.0,1
heaviness in nape muscles,shooting pain in right hip,1.0,1
heaviness in nape muscles,violent stitches in right thorax,1.0,1
pain in chest along sternum,heaviness in nape muscles,1.0,1
pain in chest along sternum,severe pains under left scapula,1.0,1
pain in chest along sternum,violent pain under seventh rib,1.0,1
pain in chest along sternum,stiffness of right knee,1.0,1
pain in chest along sternum,tearing in metacarpal bones,1.0,1
pain in chest along sternum,limbs feel stiff,1.0,1
pain in chest along sternum,coldness of left arm,1.0,1
pain in chest along sternum,pain behind sternum,1.0,1
pain in chest along sternum,oedema,1.0,1
pain in chest along sternum,sensation as if lower lumbar vertebrae would separate,1.0,1
pain in chest along sternum,bitter taste when drinking,1.0,1
pain in chest along sternum,violent pain in knee,1.0,1
pain in chest along sternum,vertebrae separation sensation on stooping,1.0,1
pain in chest along sternum,sensation as if abdomen constricted with string,1.0,1
pain in chest along sternum,violent tearing pains in limbs,1.0,1
pain in chest along sternum,ankle hardest on inner side,1.0,1
pain in chest along sternum,neck feels as if broken,1.0,1
pain in chest along sternum,pulse full,1.0,1
pain in chest along sternum,thorax stitches worse on inspiration,1.0,1
pain in chest along sternum,pain in cervical muscles,1.0,1
pain in chest along sternum,limbs feel heavy,1.0,1
pain in chest along sternum,hands hot,1.0,1
pain in chest along sternum,drawing in occiput,1.0,1
pain in chest along sternum,stiffness of wrists,1.0,1
pain in chest along sternum,drawing in nape,1.0,1
pain in chest along sternum,paralytic pain in left shoulder,1.0,1
pain in chest along sternum,hip pain extends to feet,1.0,1
pain in chest along sternum,thorax stitches worse on motion,1.0,1
pain in chest along sternum,pain in right clavicle,1.0,1
pain in chest along sternum,rheumatic troubles about chest,1.0,1
pain in chest along sternum,sensation of sand in eye,1.0,1
pain in chest along sternum,urine dark yellow,1.0,1
pain in chest along sternum,oedema from venous congestion,1.0,1
pain in chest along sternum,violent tearing pains in back,1.0,1
pain in chest along sternum,pain under right shoulder blade,1.0,1
pain in chest along sternum,stiffness of right neck muscles,1.0,1
pain in chest along sternum,sole cramps worse by putting foot down,1.0,1
pain in chest along sternum,hip pain worse on right side,1.0,1
pain in chest along sternum,severe pain in spine between shoulders,1.0,1
pain in chest along sternum,amaurosis from rheumatic troubles,1.0,1
pain in chest along sternum,anxious,1.0,1
pain in chest along sternum,sensation as if weights hung on right leg,1.0,1
pain in chest along sternum,lancinating pains in pectoral muscles,1.0,1
pain in chest along sternum,head drawn to left,1.0,1
pain in chest along sternum,stitches in right side of chest,1.0,1
pain in chest along sternum,pressing pain beneath right scapula,1.0,1
pain in chest along sternum,pain across umbilicus,1.0,1
pain in chest along sternum,rose-red elastic swelling,1.0,1
pain in chest along sternum,fingertips cold,1.0,1
pain in chest along sternum,violent pain in popliteal space,1.0,1
pain in chest along sternum,tightness of chest,1.0,1
pain in chest along sternum,urine milky,1.0,1
pain in chest along sternum,foot oedematous,1.0,1
pain in chest along sternum,associated with hepatic affections,1.0,1
pain in chest along sternum,yellow nose,1.0,1
pain in chest along sternum,cutting pains in arms,1.0,1
pain in chest along sternum,shoulder pain from scapula,1.0,1
pain in chest along sternum,rheumatic troubles about abdomen,1.0,1
pain in chest along sternum,left half of neck stiff,1.0,1
pain in chest along sternum,pressure extending to neck,1.0,1
pain in chest along sternum,pulse hard,1.0,1
pain in chest along sternum,hip pain extends to legs,1.0,1
pain in chest along sternum,paralytic pain in left arm,1.0,1
pain in chest along sternum,tongue thickly coated yellow,1.0,1
pain in chest along sternum,intellect dull,1.0,1
pain in chest along sternum,swelling of elbows,1.0,1
pain in chest along sternum,vertebrae soreness worse by motion,1.0,1
pain in chest along sternum,antidotes bryonia,1.0,1
pain in chest along sternum,constant pain under right scapula,1.0,1
pain in chest along sternum,bitter taste when eating,1.0,1
pain in chest along sternum,rose-coloured elastic swelling of ankle joints,1.0,1
pain in chest along sternum,finger pain worse by pressure,1.0,1
pain in chest along sternum,pain over elbow joint,1.0,1
pain in chest along sternum,burning in right knee,1.0,1
pain in chest along sternum,patient sensitive to touch,1.0,1
pain in chest along sternum,face yellow,1.0,1
pain in chest along sternum,yellow forehead,1.0,1
pain in chest along sternum,pain extends into chest,1.0,1
pain in chest along sternum,stiffness of cervical muscles,1.0,1
pain in chest along sternum,trembling of knees,1.0,1
pain in chest along sternum,urine turbid,1.0,1
pain in chest along sternum,periodic tightness in chest,1.0,1
pain in chest along sternum,tension in occiput,1.0,1
pain in chest along sternum,heaviness in occiput,1.0,1
pain in chest along sternum,spasmodic drawing pains in inguinal regions,1.0,1
pain in chest along sternum,pain extends into stomach,1.0,1
pain in chest along sternum,oedema mostly about ankle,1.0,1
pain in chest along sternum,eyes red,1.0,1
pain in chest along sternum,cramps in soles of feet,1.0,1
pain in chest along sternum,soreness in right chest,1.0,1
pain in chest along sternum,hip pain extends to abdomen,1.0,1
pain in chest along sternum,violent pains in right shoulder joint,1.0,1
