### Cluster 23 — Symptoms (183)
Symptom,Frequency
head insecurity due to lack of muscle control worse toward night,bruised pain in last lumbar vertebra,1.0,1
head insecurity due to lack of muscle control worse toward night,dull pain in back muscles,1.0,1
head insecurity due to lack of muscle control worse toward night,death-like oppression about heart,1.0,1
head insecurity due to lack of muscle control worse toward night,noise aggravates,1.0,1
head insecurity due to lack of muscle control worse toward night,swollen knees,1.0,1
head insecurity due to lack of muscle control worse toward night,heavy pain in neck muscles,1.0,1
head insecurity due to lack of muscle control worse toward night,effective early before disease localization,1.0,1
head insecurity due to lack of muscle control worse toward night,paralytic drawing in feet,1.0,1
head insecurity due to lack of muscle control worse toward night,knife-like pain in knee joints,1.0,1
head insecurity due to lack of muscle control worse toward night,numbness of whole limb after sitting,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain from shoulder to forearm,1.0,1
head insecurity due to lack of muscle control worse toward night,tingling with shooting pains,1.0,1
head insecurity due to lack of muscle control worse toward night,sleeplessness from knee pain must sit up,1.0,1
head insecurity due to lack of muscle control worse toward night,stiffness worse on motion,1.0,1
head insecurity due to lack of muscle control worse toward night,bad effects of cold dry winds,1.0,1
head insecurity due to lack of muscle control worse toward night,dreadful apprehension,1.0,1
head insecurity due to lack of muscle control worse toward night,deep red vessels,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain in wrists,1.0,1
head insecurity due to lack of muscle control worse toward night,lameness of affected parts,1.0,1
head insecurity due to lack of muscle control worse toward night,constriction about precordia,1.0,1
numb tingling in hands,lack of power in limbs after sitting,1.0,1
numb tingling in hands,tension as if bandaged when walking,1.0,1
numb tingling in hands,patient feels overpowered,1.0,1
numb tingling in hands,prickling in wrist,1.0,1
numb tingling in hands,pains to right shoulder,1.0,1
numb tingling in hands,great weariness,1.0,1
numb tingling in hands,heavy pain in back muscles,1.0,1
numb tingling in hands,convulsive trembling of limbs,1.0,1
numb tingling in hands,pressive pain in sacral region worse jars,1.0,1
numb tingling in hands,unsteadiness of knee joints,1.0,1
numb tingling in hands,tearing pain in thigh,1.0,1
numb tingling in hands,tearing pain in forearm,1.0,1
numb tingling in hands,drawing pain in thigh,1.0,1
numb tingling in hands,weak limbs during repose,1.0,1
numb tingling in hands,arms hang powerless as if paralyzed,1.0,1
numb tingling in hands,puffy joints,1.0,1
numb tingling in hands,tearing pain in elbow joints,1.0,1
numb tingling in hands,excitement,1.0,1
numb tingling in hands,rapid thought changes,1.0,1
numb tingling in hands,raging delirium worse at night,1.0,1
