### Cluster 58 — Symptoms (132)
Symptom,Frequency
pinching crampy pain in buttocks,tearing pain along lumbar vertebrae,1.0,1
pinching crampy pain in buttocks,contractions of finger tendons,1.0,1
pinching crampy pain in buttocks,leg pain worse in open air,1.0,1
pinching crampy pain in buttocks,drawing in legs,1.0,1
pinching crampy pain in buttocks,tension in knee joints,1.0,1
pinching crampy pain in buttocks,back pain as if from lifting,1.0,1
pinching crampy pain in buttocks,drawing in thighs,1.0,1
pinching crampy pain in buttocks,pains in malar bones,1.0,1
pinching crampy pain in buttocks,tearing pains shift rapidly,1.0,1
pinching crampy pain in buttocks,tearing pains change place often,1.0,1
pinching crampy pain in buttocks,paralysis of vocal cords,1.0,1
pinching crampy pain in buttocks,rheumatism of face,1.0,1
pinching crampy pain in buttocks,drawing from knee to malleolus,1.0,1
pinching crampy pain in buttocks,sore bruised pain on side lain on at night,1.0,1
pinching crampy pain in buttocks,cramps in tendo achillis,1.0,1
pinching crampy pain in buttocks,leg pain better by warmth of bed,1.0,1
pinching crampy pain in buttocks,tensive pain in forearms,1.0,1
pinching crampy pain in buttocks,single stitches in shin bone,1.0,1
pinching crampy pain in buttocks,rheumatic conditions with paralytic tendency,1.0,1
pinching crampy pain in buttocks,jaw lame,1.0,1
pinching crampy pain in buttocks,great uneasiness of limbs,1.0,1
pinching crampy pain in buttocks,gouty pains in limbs,1.0,1
pinching crampy pain in buttocks,numbness of ankles,1.0,1
pinching crampy pain in buttocks,burning stitches in great toe,1.0,1
pinching crampy pain in buttocks,nightly burning tearing in shins,1.0,1
pinching crampy pain in buttocks,patient springs out of bed,1.0,1
pinching crampy pain in buttocks,knee pain worse when beginning to walk,1.0,1
pinching crampy pain in buttocks,great restlessness in evening,1.0,1
pinching crampy pain in buttocks,cramps in calves in morning in bed,1.0,1
pinching crampy pain in buttocks,pains in zygomatic arch,1.0,1
pinching crampy pain in buttocks,drawing pain in glenoid cavity of jaw,1.0,1
pinching crampy pain in buttocks,cramps in sole of right foot,1.0,1
pinching crampy pain in buttocks,gouty tearing in feet,1.0,1
pinching crampy pain in buttocks,paralysis of arms,1.0,1
pinching crampy pain in buttocks,darting pain in os coccyx,1.0,1
pinching crampy pain in buttocks,contractions of flexors,1.0,1
pinching crampy pain in buttocks,cough feels as if it tears chest,1.0,1
pinching crampy pain in buttocks,tearing pain to linea alba,1.0,1
pinching crampy pain in buttocks,drawing in shoulder blades,1.0,1
pinching crampy pain in buttocks,rheumatic contraction of tendons antidoted by guaiac,1.0,1
pinching crampy pain in buttocks,pressure in shoulders,1.0,1
pinching crampy pain in buttocks,pain in middle of spine on swallowing,1.0,1
pinching crampy pain in buttocks,tearing pain in back of neck,1.0,1
pinching crampy pain in buttocks,painful stiffness of back,1.0,1
pinching crampy pain in buttocks,abundance of warty growths,1.0,1
pinching crampy pain in buttocks,stitching pains in hip joints,1.0,1
pinching crampy pain in buttocks,contractions of limbs,1.0,1
pinching crampy pain in buttocks,pressing cramp-like pain in kidney region,1.0,1
pinching crampy pain in buttocks,tearing pains in joints,1.0,1
pinching crampy pain in buttocks,sticking pain inward,1.0,1
pinching crampy pain in buttocks,painful numbness of index finger,1.0,1
pinching crampy pain in buttocks,drawing in feet,1.0,1
pinching crampy pain in buttocks,cramps in tendo achillis at 2 a.m.,1.0,1
pinching crampy pain in buttocks,cough affects throat,1.0,1
pinching crampy pain in buttocks,rheumatism of lower jaw,1.0,1
pinching crampy pain in buttocks,painful stiffness of sacrum,1.0,1
pinching crampy pain in buttocks,tearing boring pain in lower leg with movement,1.0,1
pinching crampy pain in buttocks,dull pain in os coccyx,1.0,1
pinching crampy pain in buttocks,pain in left hip joint as if wrenched,1.0,1
pinching crampy pain in buttocks,drawing in forearms,1.0,1
pinching crampy pain in buttocks,ulcerative pain in heels,1.0,1
pinching crampy pain in buttocks,gouty deposits,1.0,1
pinching crampy pain in buttocks,severe tearing in tendons under right calf,1.0,1
pinching crampy pain in buttocks,pain in elbow joints,1.0,1
pinching crampy pain in buttocks,ankle pain better from walking,1.0,1
pinching crampy pain in buttocks,knee pain better by warmth of bed,1.0,1
pinching crampy pain in buttocks,pains in superior maxilla bones,1.0,1
pinching crampy pain in buttocks,pains in shoulder when dressing in morning,1.0,1
pinching crampy pain in buttocks,foot pain worse in open air,1.0,1
pinching crampy pain in buttocks,pain in occiput,1.0,1
pinching crampy pain in buttocks,prosopalgia,1.0,1
pinching crampy pain in buttocks,tearing in forearms,1.0,1
pinching crampy pain in buttocks,stiffness worse on rising from chair,1.0,1
pinching crampy pain in buttocks,knee pain worse in open air,1.0,1
pinching crampy pain in buttocks,tendons of knees seem too short,1.0,1
pinching crampy pain in buttocks,bruised pain in legs in morning,1.0,1
pinching crampy pain in buttocks,cannot move fingers by will power,1.0,1
pinching crampy pain in buttocks,stitches in teeth,1.0,1
pinching crampy pain in buttocks,stitches in sternum from lifting,1.0,1
pinching crampy pain in buttocks,cracking in knees on walking,1.0,1
pinching crampy pain in buttocks,paralysis of hands,1.0,1
pinching crampy pain in buttocks,pinching crampy pain in lumbar region,1.0,1
pinching crampy pain in buttocks,knee pain better from continual motion,1.0,1
pinching crampy pain in buttocks,pain in ankle when sitting,1.0,1
pinching crampy pain in buttocks,stiffness in hollow of knee,1.0,1
pinching crampy pain in buttocks,drawing pain to ear,1.0,1
pinching crampy pain in buttocks,swelling of small joints of foot,1.0,1
pinching crampy pain in buttocks,knee pain worse when sitting,1.0,1
pinching crampy pain in buttocks,foot pain better by warmth of bed,1.0,1
pinching crampy pain in buttocks,pain in throat,1.0,1
pinching crampy pain in buttocks,severe pressive pain in ball of great toe,1.0,1
pinching crampy pain in buttocks,elbow pain worse from warmth,1.0,1
pinching crampy pain in buttocks,stitches in sternum from deep breathing,1.0,1
pinching crampy pain in buttocks,gouty tearing in lower leg,1.0,1
pinching crampy pain in buttocks,thigh pain worse in open air,1.0,1
pinching crampy pain in buttocks,tensive pain in hollow of knee,1.0,1
pinching crampy pain in buttocks,tearing in teeth,1.0,1
pinching crampy pain in buttocks,bruised pain in os coccyx,1.0,1
pinching crampy pain in buttocks,aching in hip joints as if dislocated,1.0,1
pinching crampy pain in buttocks,indurations of finger tendons,1.0,1
pinching crampy pain in buttocks,weakness in single parts,1.0,1
pinching crampy pain in buttocks,shoulder pain preventing motion,1.0,1
pinching crampy pain in buttocks,painful numbness of thumb,1.0,1
pinching crampy pain in buttocks,gout in hands,1.0,1
pinching crampy pain in buttocks,tearing in shoulder blades,1.0,1
pinching crampy pain in buttocks,sprained pain in back,1.0,1
stitching pains in hip joints,bruised pain in thighs in morning,1.0,1
stitching pains in hip joints,tension in right side of neck,1.0,1
stitching pains in hip joints,stitches in left lumbar region,1.0,1
stitching pains in hip joints,tension in ankle joints,1.0,1
stitching pains in hip joints,rheumatic aching in shoulder,1.0,1
stitching pains in hip joints,fingers half-closed,1.0,1
stitching pains in hip joints,paralysis of face,1.0,1
stitching pains in hip joints,thigh pain better by warmth of bed,1.0,1
stitching pains in hip joints,tension in heel,1.0,1
stitching pains in hip joints,muscles feel as if bound,1.0,1
stitching pains in hip joints,backache in coccyx,1.0,1
stitching pains in hip joints,sensation as if sharp crust struck spine,1.0,1
stitching pains in hip joints,drawing pain to cheek,1.0,1
stitching pains in hip joints,pain in loins as if bound by hands,1.0,1
stitching pains in hip joints,tearing in thighs,1.0,1
stitching pains in hip joints,griping clawing about elbow,1.0,1
stitching pains in hip joints,head drawn to right side,1.0,1
stitching pains in hip joints,cannot get into easy position,1.0,1
stitching pains in hip joints,drawing in hands,1.0,1
stitching pains in hip joints,cough affects back of sternum,1.0,1
stitching pains in hip joints,jaw stiff,1.0,1
stitching pains in hip joints,cutting stitches toward toes,1.0,1
stitching pains in hip joints,paralysis of deltoid muscle,1.0,1
stitching pains in hip joints,tendo achillis cramps waken from sleep,1.0,1
stitching pains in hip joints,drawing sticking pain in finger joints,1.0,1
stitching pains in hip joints,tearing pain along lumbar vertebrae,1.0,1
stitching pains in hip joints,contractions of finger tendons,1.0,1
stitching pains in hip joints,leg pain worse in open air,1.0,1
stitching pains in hip joints,drawing in legs,1.0,1
stitching pains in hip joints,tension in knee joints,1.0,1
stitching pains in hip joints,back pain as if from lifting,1.0,1
stitching pains in hip joints,drawing in thighs,1.0,1
stitching pains in hip joints,pains in malar bones,1.0,1
stitching pains in hip joints,tearing pains shift rapidly,1.0,1
stitching pains in hip joints,tearing pains change place often,1.0,1
stitching pains in hip joints,paralysis of vocal cords,1.0,1
stitching pains in hip joints,rheumatism of face,1.0,1
stitching pains in hip joints,drawing from knee to malleolus,1.0,1
stitching pains in hip joints,sore bruised pain on side lain on at night,1.0,1
stitching pains in hip joints,cramps in tendo achillis,1.0,1
stitching pains in hip joints,leg pain better by warmth of bed,1.0,1
stitching pains in hip joints,tensive pain in forearms,1.0,1
stitching pains in hip joints,single stitches in shin bone,1.0,1
stitching pains in hip joints,rheumatic conditions with paralytic tendency,1.0,1
stitching pains in hip joints,jaw lame,1.0,1
stitching pains in hip joints,great uneasiness of limbs,1.0,1
stitching pains in hip joints,gouty pains in limbs,1.0,1
stitching pains in hip joints,numbness of ankles,1.0,1
stitching pains in hip joints,burning stitches in great toe,1.0,1
stitching pains in hip joints,nightly burning tearing in shins,1.0,1
stitching pains in hip joints,patient springs out of bed,1.0,1
stitching pains in hip joints,knee pain worse when beginning to walk,1.0,1
stitching pains in hip joints,great restlessness in evening,1.0,1
stitching pains in hip joints,cramps in calves in morning in bed,1.0,1
stitching pains in hip joints,pains in zygomatic arch,1.0,1
stitching pains in hip joints,drawing pain in glenoid cavity of jaw,1.0,1
stitching pains in hip joints,cramps in sole of right foot,1.0,1
stitching pains in hip joints,gouty tearing in feet,1.0,1
stitching pains in hip joints,paralysis of arms,1.0,1
stitching pains in hip joints,darting pain in os coccyx,1.0,1
stitching pains in hip joints,contractions of flexors,1.0,1
stitching pains in hip joints,cough feels as if it tears chest,1.0,1
stitching pains in hip joints,tearing pain to linea alba,1.0,1
stitching pains in hip joints,drawing in shoulder blades,1.0,1
stitching pains in hip joints,rheumatic contraction of tendons antidoted by guaiac,1.0,1
stitching pains in hip joints,pinching crampy pain in buttocks,1.0,1
stitching pains in hip joints,pressure in shoulders,1.0,1
stitching pains in hip joints,pain in middle of spine on swallowing,1.0,1
stitching pains in hip joints,tearing pain in back of neck,1.0,1
stitching pains in hip joints,painful stiffness of back,1.0,1
stitching pains in hip joints,abundance of warty growths,1.0,1
stitching pains in hip joints,contractions of limbs,1.0,1
stitching pains in hip joints,pressing cramp-like pain in kidney region,1.0,1
stitching pains in hip joints,tearing pains in joints,1.0,1
stitching pains in hip joints,sticking pain inward,1.0,1
stitching pains in hip joints,painful numbness of index finger,1.0,1
stitching pains in hip joints,drawing in feet,1.0,1
stitching pains in hip joints,cramps in tendo achillis at 2 a.m.,1.0,1
stitching pains in hip joints,cough affects throat,1.0,1
stitching pains in hip joints,rheumatism of lower jaw,1.0,1
stitching pains in hip joints,painful stiffness of sacrum,1.0,1
stitching pains in hip joints,tearing boring pain in lower leg with movement,1.0,1
stitching pains in hip joints,dull pain in os coccyx,1.0,1
stitching pains in hip joints,pain in left hip joint as if wrenched,1.0,1
stitching pains in hip joints,drawing in forearms,1.0,1
stitching pains in hip joints,ulcerative pain in heels,1.0,1
stitching pains in hip joints,gouty deposits,1.0,1
stitching pains in hip joints,severe tearing in tendons under right calf,1.0,1
stitching pains in hip joints,pain in elbow joints,1.0,1
stitching pains in hip joints,ankle pain better from walking,1.0,1
stitching pains in hip joints,knee pain better by warmth of bed,1.0,1
stitching pains in hip joints,pains in superior maxilla bones,1.0,1
stitching pains in hip joints,pains in shoulder when dressing in morning,1.0,1
stitching pains in hip joints,foot pain worse in open air,1.0,1
stitching pains in hip joints,pain in occiput,1.0,1
stitching pains in hip joints,prosopalgia,1.0,1
stitching pains in hip joints,tearing in forearms,1.0,1
stitching pains in hip joints,stiffness worse on rising from chair,1.0,1
stitching pains in hip joints,knee pain worse in open air,1.0,1
stitching pains in hip joints,tendons of knees seem too short,1.0,1
stitching pains in hip joints,bruised pain in legs in morning,1.0,1
stitching pains in hip joints,cannot move fingers by will power,1.0,1
stitching pains in hip joints,stitches in teeth,1.0,1
stitching pains in hip joints,stitches in sternum from lifting,1.0,1
stitching pains in hip joints,cracking in knees on walking,1.0,1
stitching pains in hip joints,paralysis of hands,1.0,1
stitching pains in hip joints,pinching crampy pain in lumbar region,1.0,1
stitching pains in hip joints,knee pain better from continual motion,1.0,1
stitching pains in hip joints,pain in ankle when sitting,1.0,1
stitching pains in hip joints,stiffness in hollow of knee,1.0,1
stitching pains in hip joints,drawing pain to ear,1.0,1
stitching pains in hip joints,swelling of small joints of foot,1.0,1
stitching pains in hip joints,knee pain worse when sitting,1.0,1
stitching pains in hip joints,foot pain better by warmth of bed,1.0,1
stitching pains in hip joints,pain in throat,1.0,1
stitching pains in hip joints,severe pressive pain in ball of great toe,1.0,1
stitching pains in hip joints,elbow pain worse from warmth,1.0,1
stitching pains in hip joints,stitches in sternum from deep breathing,1.0,1
stitching pains in hip joints,gouty tearing in lower leg,1.0,1
stitching pains in hip joints,thigh pain worse in open air,1.0,1
stitching pains in hip joints,tensive pain in hollow of knee,1.0,1
stitching pains in hip joints,tearing in teeth,1.0,1
stitching pains in hip joints,bruised pain in os coccyx,1.0,1
stitching pains in hip joints,aching in hip joints as if dislocated,1.0,1
stitching pains in hip joints,indurations of finger tendons,1.0,1
stitching pains in hip joints,weakness in single parts,1.0,1
stitching pains in hip joints,shoulder pain preventing motion,1.0,1
stitching pains in hip joints,painful numbness of thumb,1.0,1
stitching pains in hip joints,gout in hands,1.0,1
stitching pains in hip joints,tearing in shoulder blades,1.0,1
stitching pains in hip joints,sprained pain in back,1.0,1
bruised pain in thighs in morning,tension in right side of neck,1.0,1
bruised pain in thighs in morning,stitches in left lumbar region,1.0,1
bruised pain in thighs in morning,tension in ankle joints,1.0,1
bruised pain in thighs in morning,rheumatic aching in shoulder,1.0,1
bruised pain in thighs in morning,fingers half-closed,1.0,1
bruised pain in thighs in morning,paralysis of face,1.0,1
bruised pain in thighs in morning,thigh pain better by warmth of bed,1.0,1
bruised pain in thighs in morning,tension in heel,1.0,1
bruised pain in thighs in morning,muscles feel as if bound,1.0,1
bruised pain in thighs in morning,backache in coccyx,1.0,1
bruised pain in thighs in morning,sensation as if sharp crust struck spine,1.0,1
bruised pain in thighs in morning,drawing pain to cheek,1.0,1
bruised pain in thighs in morning,pain in loins as if bound by hands,1.0,1
bruised pain in thighs in morning,tearing in thighs,1.0,1
bruised pain in thighs in morning,griping clawing about elbow,1.0,1
bruised pain in thighs in morning,head drawn to right side,1.0,1
bruised pain in thighs in morning,cannot get into easy position,1.0,1
bruised pain in thighs in morning,drawing in hands,1.0,1
bruised pain in thighs in morning,cough affects back of sternum,1.0,1
bruised pain in thighs in morning,jaw stiff,1.0,1
bruised pain in thighs in morning,cutting stitches toward toes,1.0,1
bruised pain in thighs in morning,paralysis of deltoid muscle,1.0,1
bruised pain in thighs in morning,tendo achillis cramps waken from sleep,1.0,1
bruised pain in thighs in morning,drawing sticking pain in finger joints,1.0,1
bruised pain in thighs in morning,tearing pain along lumbar vertebrae,1.0,1
bruised pain in thighs in morning,contractions of finger tendons,1.0,1
bruised pain in thighs in morning,leg pain worse in open air,1.0,1
bruised pain in thighs in morning,drawing in legs,1.0,1
bruised pain in thighs in morning,tension in knee joints,1.0,1
bruised pain in thighs in morning,back pain as if from lifting,1.0,1
bruised pain in thighs in morning,drawing in thighs,1.0,1
bruised pain in thighs in morning,pains in malar bones,1.0,1
bruised pain in thighs in morning,tearing pains shift rapidly,1.0,1
bruised pain in thighs in morning,tearing pains change place often,1.0,1
bruised pain in thighs in morning,paralysis of vocal cords,1.0,1
bruised pain in thighs in morning,rheumatism of face,1.0,1
bruised pain in thighs in morning,drawing from knee to malleolus,1.0,1
bruised pain in thighs in morning,sore bruised pain on side lain on at night,1.0,1
bruised pain in thighs in morning,cramps in tendo achillis,1.0,1
bruised pain in thighs in morning,leg pain better by warmth of bed,1.0,1
bruised pain in thighs in morning,tensive pain in forearms,1.0,1
bruised pain in thighs in morning,single stitches in shin bone,1.0,1
bruised pain in thighs in morning,rheumatic conditions with paralytic tendency,1.0,1
bruised pain in thighs in morning,jaw lame,1.0,1
bruised pain in thighs in morning,great uneasiness of limbs,1.0,1
bruised pain in thighs in morning,gouty pains in limbs,1.0,1
bruised pain in thighs in morning,numbness of ankles,1.0,1
bruised pain in thighs in morning,burning stitches in great toe,1.0,1
bruised pain in thighs in morning,nightly burning tearing in shins,1.0,1
bruised pain in thighs in morning,patient springs out of bed,1.0,1
bruised pain in thighs in morning,knee pain worse when beginning to walk,1.0,1
bruised pain in thighs in morning,great restlessness in evening,1.0,1
bruised pain in thighs in morning,cramps in calves in morning in bed,1.0,1
bruised pain in thighs in morning,pains in zygomatic arch,1.0,1
bruised pain in thighs in morning,drawing pain in glenoid cavity of jaw,1.0,1
bruised pain in thighs in morning,cramps in sole of right foot,1.0,1
bruised pain in thighs in morning,gouty tearing in feet,1.0,1
bruised pain in thighs in morning,paralysis of arms,1.0,1
bruised pain in thighs in morning,darting pain in os coccyx,1.0,1
bruised pain in thighs in morning,contractions of flexors,1.0,1
bruised pain in thighs in morning,cough feels as if it tears chest,1.0,1
bruised pain in thighs in morning,tearing pain to linea alba,1.0,1
bruised pain in thighs in morning,drawing in shoulder blades,1.0,1
bruised pain in thighs in morning,rheumatic contraction of tendons antidoted by guaiac,1.0,1
bruised pain in thighs in morning,pinching crampy pain in buttocks,1.0,1
bruised pain in thighs in morning,pressure in shoulders,1.0,1
bruised pain in thighs in morning,pain in middle of spine on swallowing,1.0,1
bruised pain in thighs in morning,tearing pain in back of neck,1.0,1
bruised pain in thighs in morning,painful stiffness of back,1.0,1
bruised pain in thighs in morning,abundance of warty growths,1.0,1
bruised pain in thighs in morning,stitching pains in hip joints,1.0,1
bruised pain in thighs in morning,contractions of limbs,1.0,1
bruised pain in thighs in morning,pressing cramp-like pain in kidney region,1.0,1
bruised pain in thighs in morning,tearing pains in joints,1.0,1
bruised pain in thighs in morning,sticking pain inward,1.0,1
bruised pain in thighs in morning,painful numbness of index finger,1.0,1
bruised pain in thighs in morning,drawing in feet,1.0,1
bruised pain in thighs in morning,cramps in tendo achillis at 2 a.m.,1.0,1
bruised pain in thighs in morning,cough affects throat,1.0,1
bruised pain in thighs in morning,rheumatism of lower jaw,1.0,1
bruised pain in thighs in morning,painful stiffness of sacrum,1.0,1
bruised pain in thighs in morning,tearing boring pain in lower leg with movement,1.0,1
bruised pain in thighs in morning,dull pain in os coccyx,1.0,1
bruised pain in thighs in morning,pain in left hip joint as if wrenched,1.0,1
bruised pain in thighs in morning,drawing in forearms,1.0,1
bruised pain in thighs in morning,ulcerative pain in heels,1.0,1
bruised pain in thighs in morning,gouty deposits,1.0,1
bruised pain in thighs in morning,severe tearing in tendons under right calf,1.0,1
bruised pain in thighs in morning,pain in elbow joints,1.0,1
bruised pain in thighs in morning,ankle pain better from walking,1.0,1
bruised pain in thighs in morning,knee pain better by warmth of bed,1.0,1
bruised pain in thighs in morning,pains in superior maxilla bones,1.0,1
bruised pain in thighs in morning,pains in shoulder when dressing in morning,1.0,1
bruised pain in thighs in morning,foot pain worse in open air,1.0,1
bruised pain in thighs in morning,pain in occiput,1.0,1
bruised pain in thighs in morning,prosopalgia,1.0,1
bruised pain in thighs in morning,tearing in forearms,1.0,1
bruised pain in thighs in morning,stiffness worse on rising from chair,1.0,1
bruised pain in thighs in morning,knee pain worse in open air,1.0,1
bruised pain in thighs in morning,tendons of knees seem too short,1.0,1
bruised pain in thighs in morning,bruised pain in legs in morning,1.0,1
bruised pain in thighs in morning,cannot move fingers by will power,1.0,1
bruised pain in thighs in morning,stitches in teeth,1.0,1
bruised pain in thighs in morning,stitches in sternum from lifting,1.0,1
bruised pain in thighs in morning,cracking in knees on walking,1.0,1
bruised pain in thighs in morning,paralysis of hands,1.0,1
bruised pain in thighs in morning,pinching crampy pain in lumbar region,1.0,1
bruised pain in thighs in morning,knee pain better from continual motion,1.0,1
bruised pain in thighs in morning,pain in ankle when sitting,1.0,1
bruised pain in thighs in morning,stiffness in hollow of knee,1.0,1
bruised pain in thighs in morning,drawing pain to ear,1.0,1
bruised pain in thighs in morning,swelling of small joints of foot,1.0,1
bruised pain in thighs in morning,knee pain worse when sitting,1.0,1
bruised pain in thighs in morning,foot pain better by warmth of bed,1.0,1
bruised pain in thighs in morning,pain in throat,1.0,1
bruised pain in thighs in morning,severe pressive pain in ball of great toe,1.0,1
bruised pain in thighs in morning,elbow pain worse from warmth,1.0,1
bruised pain in thighs in morning,stitches in sternum from deep breathing,1.0,1
bruised pain in thighs in morning,gouty tearing in lower leg,1.0,1
bruised pain in thighs in morning,thigh pain worse in open air,1.0,1
bruised pain in thighs in morning,tensive pain in hollow of knee,1.0,1
bruised pain in thighs in morning,tearing in teeth,1.0,1
bruised pain in thighs in morning,bruised pain in os coccyx,1.0,1
bruised pain in thighs in morning,aching in hip joints as if dislocated,1.0,1
bruised pain in thighs in morning,indurations of finger tendons,1.0,1
bruised pain in thighs in morning,weakness in single parts,1.0,1
bruised pain in thighs in morning,shoulder pain preventing motion,1.0,1
bruised pain in thighs in morning,painful numbness of thumb,1.0,1
bruised pain in thighs in morning,gout in hands,1.0,1
bruised pain in thighs in morning,tearing in shoulder blades,1.0,1
bruised pain in thighs in morning,sprained pain in back,1.0,1
pain in loins as if bound by hands,bruised pain in thighs in morning,1.0,1
pain in loins as if bound by hands,tension in right side of neck,1.0,1
pain in loins as if bound by hands,stitches in left lumbar region,1.0,1
pain in loins as if bound by hands,tension in ankle joints,1.0,1
pain in loins as if bound by hands,rheumatic aching in shoulder,1.0,1
pain in loins as if bound by hands,fingers half-closed,1.0,1
pain in loins as if bound by hands,paralysis of face,1.0,1
pain in loins as if bound by hands,thigh pain better by warmth of bed,1.0,1
pain in loins as if bound by hands,tension in heel,1.0,1
pain in loins as if bound by hands,muscles feel as if bound,1.0,1
pain in loins as if bound by hands,backache in coccyx,1.0,1
pain in loins as if bound by hands,sensation as if sharp crust struck spine,1.0,1
pain in loins as if bound by hands,drawing pain to cheek,1.0,1
pain in loins as if bound by hands,tearing in thighs,1.0,1
pain in loins as if bound by hands,griping clawing about elbow,1.0,1
pain in loins as if bound by hands,head drawn to right side,1.0,1
pain in loins as if bound by hands,cannot get into easy position,1.0,1
pain in loins as if bound by hands,drawing in hands,1.0,1
pain in loins as if bound by hands,cough affects back of sternum,1.0,1
pain in loins as if bound by hands,jaw stiff,1.0,1
