### Cluster 33 — Symptoms (87)
Symptom,Frequency
rheumatism of shoulder,violent bruised pain in joints,1.0,1
rheumatism of shoulder,sticking in shoulders,1.0,1
rheumatism of shoulder,pressure in sacrum,1.0,1
rheumatism of shoulder,stiffness in legs,1.0,1
rheumatism of shoulder,drawing pain in nape of neck,1.0,1
rheumatism of shoulder,boring pain,1.0,1
rheumatism of shoulder,can only turn head to one side,1.0,1
rheumatism of shoulder,burning of skin,1.0,1
rheumatism of shoulder,stiffness in elbow,1.0,1
rheumatism of shoulder,pain as from a sprain in nape of neck,1.0,1
rheumatism of shoulder,gouty pain in hands,1.0,1
rheumatism of shoulder,gouty pain in fingers,1.0,1
rheumatism of shoulder,pain as from a sprain in shoulder,1.0,1
rheumatism of shoulder,violent bruised pain in knees,1.0,1
rheumatism of shoulder,drawing pain in legs,1.0,1
rheumatism of shoulder,violent bruised pain in thighs,1.0,1
rheumatism of shoulder,worse in open air,1.0,1
sticking pain in small of back,rheumatism of joints,1.0,1
sticking pain in small of back,sticking pain in knees,1.0,1
sticking pain in small of back,stiffness in feet,1.0,1
sticking pain in small of back,drawing pain in fingers,1.0,1
sticking pain in small of back,violent bruised pain in feet,1.0,1
sticking pain in small of back,swelling of hands,1.0,1
sticking pain in small of back,drawing pain in ankles,1.0,1
sticking pain in small of back,sticking pain in ankles,1.0,1
sticking pain in small of back,itching of skin,1.0,1
sticking pain in small of back,tearing pain in ankles,1.0,1
sticking pain in small of back,sticking pain in legs,1.0,1
sticking pain in small of back,violent bruised pain in back,1.0,1
sticking pain in small of back,sticking pain in arms,1.0,1
sticking pain in small of back,tearing pain in thighs,1.0,1
sticking pain in small of back,rheumatism of shoulder,1.0,1
sticking pain in small of back,sticking pain in hips,1.0,1
sticking pain in small of back,headache worse lying on back,1.0,1
sticking pain in small of back,tearing pain in nape of neck,1.0,1
sticking pain in small of back,pressive pain in small of back,1.0,1
sticking pain in small of back,tearing in wrist,1.0,1
sticking pain in small of back,chronic cases,1.0,1
sticking pain in small of back,gouty pain in feet,1.0,1
sticking pain in small of back,pain as from a sprain in shoulders,1.0,1
sticking pain in small of back,gouty diathesis,1.0,1
sticking pain in small of back,chronic articular rheumatism,1.0,1
sticking pain in small of back,suppressed eruptions,1.0,1
sticking pain in small of back,sticking in fingers,1.0,1
sticking pain in small of back,sticking pain in feet,1.0,1
sticking pain in small of back,drawing pain in all joints,1.0,1
sticking pain in small of back,pressive pain,1.0,1
sticking pain in small of back,pressure between shoulder blades,1.0,1
sticking pain in small of back,can hardly rise from a seat,1.0,1
sticking pain in small of back,stiffness in hands,1.0,1
sticking pain in small of back,violent bruised pain in sacrum,1.0,1
sticking pain in small of back,sticking pain in elbow,1.0,1
sticking pain in small of back,pressing pain in nape of neck,1.0,1
sticking pain in small of back,violent bruised pain in arms,1.0,1
sticking pain in small of back,stiffness in wrist,1.0,1
sticking pain in small of back,psoric manifestations,1.0,1
sticking pain in small of back,violent bruised pain in elbow,1.0,1
sticking pain in small of back,swelling in ankles,1.0,1
sticking pain in small of back,sticking in wrist,1.0,1
sticking pain in small of back,tearing pain in joints,1.0,1
sticking pain in small of back,sticking pain in thighs,1.0,1
sticking pain in small of back,stiffness in hips,1.0,1
sticking pain in small of back,violent bruised pain in hips,1.0,1
sticking pain in small of back,pain as from overlifting in small of back,1.0,1
sticking pain in small of back,sticking in hands,1.0,1
sticking pain in small of back,stiffness of shoulder,1.0,1
sticking pain in small of back,violent bruised pain in ankles,1.0,1
sticking pain in small of back,sticking in sacrum,1.0,1
sticking pain in small of back,headache worse in open air,1.0,1
sticking pain in small of back,tearing pain in hips,1.0,1
sticking pain in small of back,swelling of fingers,1.0,1
sticking pain in small of back,drawing pain in wrist,1.0,1
sticking pain in small of back,stiffness in fingers,1.0,1
sticking pain in small of back,drawing pain in arms,1.0,1
sticking pain in small of back,drawing pain in hands,1.0,1
sticking pain in small of back,rheumatism of muscles of neck,1.0,1
sticking pain in small of back,sticking pain in joints,1.0,1
sticking pain in small of back,sticking between shoulder blades,1.0,1
sticking pain in small of back,sticking pain in nape of neck,1.0,1
sticking pain in small of back,tearing pain in shoulder,1.0,1
sticking pain in small of back,tearing pain in elbow,1.0,1
sticking pain in small of back,gouty pain in wrist,1.0,1
sticking pain in small of back,swelling in knees,1.0,1
sticking pain in small of back,violent bruised pain in legs,1.0,1
sticking pain in small of back,psoric origin,1.0,1
sticking pain in small of back,drawing pain in feet,1.0,1
sticking pain in small of back,violent bruised pain in joints,1.0,1
sticking pain in small of back,sticking in shoulders,1.0,1
sticking pain in small of back,pressure in sacrum,1.0,1
sticking pain in small of back,stiffness in legs,1.0,1
sticking pain in small of back,drawing pain in nape of neck,1.0,1
sticking pain in small of back,boring pain,1.0,1
sticking pain in small of back,can only turn head to one side,1.0,1
sticking pain in small of back,burning of skin,1.0,1
sticking pain in small of back,stiffness in elbow,1.0,1
sticking pain in small of back,pain as from a sprain in nape of neck,1.0,1
sticking pain in small of back,gouty pain in hands,1.0,1
sticking pain in small of back,gouty pain in fingers,1.0,1
sticking pain in small of back,pain as from a sprain in shoulder,1.0,1
sticking pain in small of back,violent bruised pain in knees,1.0,1
sticking pain in small of back,drawing pain in legs,1.0,1
sticking pain in small of back,violent bruised pain in thighs,1.0,1
sticking pain in small of back,worse in open air,1.0,1
violent bruised pain in thighs,sticking pain in small of back,1.0,1
violent bruised pain in thighs,rheumatism of joints,1.0,1
violent bruised pain in thighs,sticking pain in knees,1.0,1
violent bruised pain in thighs,stiffness in feet,1.0,1
violent bruised pain in thighs,drawing pain in fingers,1.0,1
violent bruised pain in thighs,violent bruised pain in feet,1.0,1
violent bruised pain in thighs,swelling of hands,1.0,1
violent bruised pain in thighs,drawing pain in ankles,1.0,1
violent bruised pain in thighs,sticking pain in ankles,1.0,1
violent bruised pain in thighs,itching of skin,1.0,1
violent bruised pain in thighs,tearing pain in ankles,1.0,1
violent bruised pain in thighs,sticking pain in legs,1.0,1
violent bruised pain in thighs,violent bruised pain in back,1.0,1
violent bruised pain in thighs,sticking pain in arms,1.0,1
violent bruised pain in thighs,tearing pain in thighs,1.0,1
violent bruised pain in thighs,rheumatism of shoulder,1.0,1
violent bruised pain in thighs,sticking pain in hips,1.0,1
violent bruised pain in thighs,headache worse lying on back,1.0,1
violent bruised pain in thighs,tearing pain in nape of neck,1.0,1
violent bruised pain in thighs,pressive pain in small of back,1.0,1
violent bruised pain in thighs,tearing in wrist,1.0,1
violent bruised pain in thighs,chronic cases,1.0,1
violent bruised pain in thighs,gouty pain in feet,1.0,1
violent bruised pain in thighs,pain as from a sprain in shoulders,1.0,1
violent bruised pain in thighs,gouty diathesis,1.0,1
violent bruised pain in thighs,chronic articular rheumatism,1.0,1
violent bruised pain in thighs,suppressed eruptions,1.0,1
violent bruised pain in thighs,sticking in fingers,1.0,1
violent bruised pain in thighs,sticking pain in feet,1.0,1
violent bruised pain in thighs,drawing pain in all joints,1.0,1
violent bruised pain in thighs,pressive pain,1.0,1
violent bruised pain in thighs,pressure between shoulder blades,1.0,1
violent bruised pain in thighs,can hardly rise from a seat,1.0,1
violent bruised pain in thighs,stiffness in hands,1.0,1
violent bruised pain in thighs,violent bruised pain in sacrum,1.0,1
violent bruised pain in thighs,sticking pain in elbow,1.0,1
violent bruised pain in thighs,pressing pain in nape of neck,1.0,1
violent bruised pain in thighs,violent bruised pain in arms,1.0,1
violent bruised pain in thighs,stiffness in wrist,1.0,1
violent bruised pain in thighs,psoric manifestations,1.0,1
violent bruised pain in thighs,violent bruised pain in elbow,1.0,1
violent bruised pain in thighs,swelling in ankles,1.0,1
violent bruised pain in thighs,sticking in wrist,1.0,1
violent bruised pain in thighs,tearing pain in joints,1.0,1
violent bruised pain in thighs,sticking pain in thighs,1.0,1
violent bruised pain in thighs,stiffness in hips,1.0,1
violent bruised pain in thighs,violent bruised pain in hips,1.0,1
violent bruised pain in thighs,pain as from overlifting in small of back,1.0,1
violent bruised pain in thighs,sticking in hands,1.0,1
violent bruised pain in thighs,stiffness of shoulder,1.0,1
violent bruised pain in thighs,violent bruised pain in ankles,1.0,1
violent bruised pain in thighs,sticking in sacrum,1.0,1
violent bruised pain in thighs,headache worse in open air,1.0,1
violent bruised pain in thighs,tearing pain in hips,1.0,1
violent bruised pain in thighs,swelling of fingers,1.0,1
violent bruised pain in thighs,drawing pain in wrist,1.0,1
violent bruised pain in thighs,stiffness in fingers,1.0,1
violent bruised pain in thighs,drawing pain in arms,1.0,1
violent bruised pain in thighs,drawing pain in hands,1.0,1
violent bruised pain in thighs,rheumatism of muscles of neck,1.0,1
violent bruised pain in thighs,sticking pain in joints,1.0,1
violent bruised pain in thighs,sticking between shoulder blades,1.0,1
violent bruised pain in thighs,sticking pain in nape of neck,1.0,1
violent bruised pain in thighs,tearing pain in shoulder,1.0,1
violent bruised pain in thighs,tearing pain in elbow,1.0,1
violent bruised pain in thighs,gouty pain in wrist,1.0,1
violent bruised pain in thighs,swelling in knees,1.0,1
violent bruised pain in thighs,violent bruised pain in legs,1.0,1
violent bruised pain in thighs,psoric origin,1.0,1
violent bruised pain in thighs,drawing pain in feet,1.0,1
violent bruised pain in thighs,violent bruised pain in joints,1.0,1
violent bruised pain in thighs,sticking in shoulders,1.0,1
violent bruised pain in thighs,pressure in sacrum,1.0,1
violent bruised pain in thighs,stiffness in legs,1.0,1
violent bruised pain in thighs,drawing pain in nape of neck,1.0,1
violent bruised pain in thighs,boring pain,1.0,1
violent bruised pain in thighs,can only turn head to one side,1.0,1
violent bruised pain in thighs,burning of skin,1.0,1
violent bruised pain in thighs,stiffness in elbow,1.0,1
violent bruised pain in thighs,pain as from a sprain in nape of neck,1.0,1
violent bruised pain in thighs,gouty pain in hands,1.0,1
violent bruised pain in thighs,gouty pain in fingers,1.0,1
violent bruised pain in thighs,pain as from a sprain in shoulder,1.0,1
violent bruised pain in thighs,violent bruised pain in knees,1.0,1
violent bruised pain in thighs,drawing pain in legs,1.0,1
violent bruised pain in thighs,worse in open air,1.0,1
drawing pain in feet,sticking pain in small of back,1.0,1
drawing pain in feet,rheumatism of joints,1.0,1
drawing pain in feet,sticking pain in knees,1.0,1
drawing pain in feet,stiffness in feet,1.0,1
drawing pain in feet,drawing pain in fingers,1.0,1
drawing pain in feet,violent bruised pain in feet,1.0,1
drawing pain in feet,swelling of hands,1.0,1
drawing pain in feet,drawing pain in ankles,1.0,1
drawing pain in feet,sticking pain in ankles,1.0,1
drawing pain in feet,itching of skin,1.0,1
drawing pain in feet,tearing pain in ankles,1.0,1
drawing pain in feet,sticking pain in legs,1.0,1
drawing pain in feet,violent bruised pain in back,1.0,1
drawing pain in feet,sticking pain in arms,1.0,1
drawing pain in feet,tearing pain in thighs,1.0,1
drawing pain in feet,rheumatism of shoulder,1.0,1
drawing pain in feet,sticking pain in hips,1.0,1
drawing pain in feet,headache worse lying on back,1.0,1
drawing pain in feet,tearing pain in nape of neck,1.0,1
drawing pain in feet,pressive pain in small of back,1.0,1
drawing pain in feet,tearing in wrist,1.0,1
drawing pain in feet,chronic cases,1.0,1
drawing pain in feet,gouty pain in feet,1.0,1
drawing pain in feet,pain as from a sprain in shoulders,1.0,1
drawing pain in feet,gouty diathesis,1.0,1
drawing pain in feet,chronic articular rheumatism,1.0,1
drawing pain in feet,suppressed eruptions,1.0,1
drawing pain in feet,sticking in fingers,1.0,1
drawing pain in feet,sticking pain in feet,1.0,1
drawing pain in feet,drawing pain in all joints,1.0,1
drawing pain in feet,pressive pain,1.0,1
drawing pain in feet,pressure between shoulder blades,1.0,1
drawing pain in feet,can hardly rise from a seat,1.0,1
drawing pain in feet,stiffness in hands,1.0,1
drawing pain in feet,violent bruised pain in sacrum,1.0,1
drawing pain in feet,sticking pain in elbow,1.0,1
drawing pain in feet,pressing pain in nape of neck,1.0,1
drawing pain in feet,violent bruised pain in arms,1.0,1
drawing pain in feet,stiffness in wrist,1.0,1
drawing pain in feet,psoric manifestations,1.0,1
drawing pain in feet,violent bruised pain in elbow,1.0,1
drawing pain in feet,swelling in ankles,1.0,1
drawing pain in feet,sticking in wrist,1.0,1
drawing pain in feet,tearing pain in joints,1.0,1
drawing pain in feet,sticking pain in thighs,1.0,1
drawing pain in feet,stiffness in hips,1.0,1
drawing pain in feet,violent bruised pain in hips,1.0,1
drawing pain in feet,pain as from overlifting in small of back,1.0,1
drawing pain in feet,sticking in hands,1.0,1
drawing pain in feet,stiffness of shoulder,1.0,1
drawing pain in feet,violent bruised pain in ankles,1.0,1
drawing pain in feet,sticking in sacrum,1.0,1
drawing pain in feet,headache worse in open air,1.0,1
drawing pain in feet,tearing pain in hips,1.0,1
drawing pain in feet,swelling of fingers,1.0,1
drawing pain in feet,drawing pain in wrist,1.0,1
drawing pain in feet,stiffness in fingers,1.0,1
drawing pain in feet,drawing pain in arms,1.0,1
drawing pain in feet,drawing pain in hands,1.0,1
drawing pain in feet,rheumatism of muscles of neck,1.0,1
drawing pain in feet,sticking pain in joints,1.0,1
drawing pain in feet,sticking between shoulder blades,1.0,1
drawing pain in feet,sticking pain in nape of neck,1.0,1
drawing pain in feet,tearing pain in shoulder,1.0,1
drawing pain in feet,tearing pain in elbow,1.0,1
drawing pain in feet,gouty pain in wrist,1.0,1
drawing pain in feet,swelling in knees,1.0,1
drawing pain in feet,violent bruised pain in legs,1.0,1
drawing pain in feet,psoric origin,1.0,1
drawing pain in feet,violent bruised pain in joints,1.0,1
drawing pain in feet,sticking in shoulders,1.0,1
drawing pain in feet,pressure in sacrum,1.0,1
drawing pain in feet,stiffness in legs,1.0,1
