### Cluster 17 — Symptoms (127)
Symptom,Frequency
patient wild,cannot find easy position,1.0,1
patient wild,paralytic-like pain in arms,1.0,1
patient wild,cracking in knees,1.0,1
patient wild,profuse hot sweat,1.0,1
patient wild,toothache one-sided,1.0,1
patient wild,restlessness of feet at night,1.0,1
patient wild,paralytic pain from elbows to fingers,1.0,1
patient wild,fine sensitive pressure in articular ligaments,1.0,1
patient wild,drawing tearing from knee to ankle,1.0,1
patient wild,crawling in calves,1.0,1
patient wild,lassitude in limbs,1.0,1
patient wild,hip pain after sitting in evening,1.0,1
patient wild,numbness at night,1.0,1
patient wild,back pains worse at night,1.0,1
patient wild,fine sensitive pressure in periosteum of shoulder,1.0,1
patient wild,joints sore,1.0,1
patient wild,pains drive out of bed,1.0,1
patient wild,stitches in thighs,1.0,1
patient wild,unendurable pains in hip joint at night,1.0,1
patient wild,tension in knees,1.0,1
patient wild,pain in periosteum,1.0,1
patient wild,toothache worse from warmth of bed,1.0,1
patient wild,numbness of toes,1.0,1
patient wild,heaviness of calves,1.0,1
patient wild,bruised sensation in back muscles,1.0,1
patient wild,sprained pain in thumb,1.0,1
patient wild,severe stitches in forearm along bones,1.0,1
patient wild,crawling tearing in bones of arm to fingers,1.0,1
patient wild,paralytic weakness of thighs,1.0,1
patient wild,tearing pains in clavicle region,1.0,1
patient wild,violent drawing tearing from left ischium to os calcis,1.0,1
patient wild,feet pain worse from motion,1.0,1
patient wild,suits nervous excitable women and children,1.0,1
patient wild,indescribable pain in thighs on stretching leg,1.0,1
patient wild,pains compel walking,1.0,1
sprained pain in thumb,fine sensitive pressure to fingers,1.0,1
sprained pain in thumb,heat and chilliness mingled,1.0,1
sprained pain in thumb,tensive stiffness of cervical muscles,1.0,1
sprained pain in thumb,contractive sensation in spine,1.0,1
sprained pain in thumb,unendurable toothache,1.0,1
sprained pain in thumb,cannot bear slightest motion,1.0,1
sprained pain in thumb,leg stitches better from motion,1.0,1
sprained pain in thumb,toothache worse at night,1.0,1
sprained pain in thumb,pains worse when lying on opposite side,1.0,1
sprained pain in thumb,cannot hold anything firmly,1.0,1
sprained pain in thumb,other cheek pale,1.0,1
sprained pain in thumb,tearing pains in back,1.0,1
sprained pain in thumb,cracking of lower limb joints,1.0,1
sprained pain in thumb,heat,1.0,1
sprained pain in thumb,backache worse when walking,1.0,1
sprained pain in thumb,patient is irritable,1.0,1
sprained pain in thumb,pain in heart as if weighed down,1.0,1
sprained pain in thumb,swelling around malleoli,1.0,1
sprained pain in thumb,pain in knees better by drawing feet up,1.0,1
sprained pain in thumb,one cheek red,1.0,1
sprained pain in thumb,finger joints swollen,1.0,1
sprained pain in thumb,faintness about heart,1.0,1
sprained pain in thumb,cold perspiration in palms,1.0,1
sprained pain in thumb,bruised sensation in loins,1.0,1
sprained pain in thumb,patient is peevish,1.0,1
sprained pain in thumb,restlessness of legs at night,1.0,1
sprained pain in thumb,fretful,1.0,1
sprained pain in thumb,toothache worse from cold water,1.0,1
sprained pain in thumb,feet paralysis worse at night,1.0,1
sprained pain in thumb,right arm asleep on waking,1.0,1
sprained pain in thumb,arthritic ophthalmia early in attack,1.0,1
sprained pain in thumb,adults sensitive to pain,1.0,1
sprained pain in thumb,lameness at night,1.0,1
sprained pain in thumb,backache worse when stooping,1.0,1
sprained pain in thumb,stitches from knees to ankles,1.0,1
sprained pain in thumb,arms go to sleep,1.0,1
sprained pain in thumb,patient whines continually,1.0,1
sprained pain in thumb,bruised pain in joints,1.0,1
sprained pain in thumb,indescribable pain in thighs on rising,1.0,1
sprained pain in thumb,thorax feels beaten,1.0,1
sprained pain in thumb,one cheek bright red,1.0,1
sprained pain in thumb,drawing stinging in back,1.0,1
sprained pain in thumb,numbness in arm,1.0,1
sprained pain in thumb,tearing pain in whole leg,1.0,1
sprained pain in thumb,feet pain requires lying down,1.0,1
sprained pain in thumb,arms are numb,1.0,1
sprained pain in thumb,redness around malleoli,1.0,1
sprained pain in thumb,prostration while pain lasts,1.0,1
sprained pain in thumb,bruised pain in thighs,1.0,1
sprained pain in thumb,great weakness while pain lasts,1.0,1
sprained pain in thumb,patient unruly,1.0,1
sprained pain in thumb,stitches in right arm to shoulder,1.0,1
sprained pain in thumb,tearing pain in flexors of forearm after waking,1.0,1
sprained pain in thumb,faintness,1.0,1
sprained pain in thumb,finger joints red,1.0,1
sprained pain in thumb,adults whine and complain,1.0,1
sprained pain in thumb,stiffness of arm as if going to sleep,1.0,1
sprained pain in thumb,violent rheumatic pains at night,1.0,1
sprained pain in thumb,excessive impressionability,1.0,1
sprained pain in thumb,hot sweat especially while sleeping,1.0,1
sprained pain in thumb,rheumatic toothache,1.0,1
sprained pain in thumb,unendurable pains in loins at night,1.0,1
sprained pain in thumb,sprained pain in index finger,1.0,1
sprained pain in thumb,limb pains worse at night,1.0,1
sprained pain in thumb,drawing tearing pains in limbs,1.0,1
sprained pain in thumb,stitches to finger tips,1.0,1
sprained pain in thumb,drawing in scapulae,1.0,1
sprained pain in thumb,paralytic weakness,1.0,1
sprained pain in thumb,arm stiffness on grasping anything,1.0,1
sprained pain in thumb,sprained pain in hip joint on walking,1.0,1
sprained pain in thumb,feet go to sleep when stretched out,1.0,1
sprained pain in thumb,children soothed by petting,1.0,1
sprained pain in thumb,very restless sleep,1.0,1
sprained pain in thumb,tearing pain down the leg,1.0,1
sprained pain in thumb,pains become intolerable,1.0,1
sprained pain in thumb,trembling of legs when going to sleep,1.0,1
sprained pain in thumb,fine sensitive pressure in periosteum of arm,1.0,1
sprained pain in thumb,electric-like jerking stitches in cervical region,1.0,1
sprained pain in thumb,easily excited,1.0,1
sprained pain in thumb,tearing pains in throat,1.0,1
sprained pain in thumb,joints bruised,1.0,1
sprained pain in thumb,pain in calves better by drawing feet up,1.0,1
sprained pain in thumb,cramp-like tension of muscles,1.0,1
sprained pain in thumb,tearing pain at night,1.0,1
sprained pain in thumb,irritability of nervous system,1.0,1
sprained pain in thumb,pain seems unendurable,1.0,1
sprained pain in thumb,electric-like jerking stitches in left shoulder,1.0,1
sprained pain in thumb,feet seem paralyzed,1.0,1
sprained pain in thumb,violent drawing tearing to sole of foot,1.0,1
sprained pain in thumb,stitches in nates,1.0,1
sprained pain in thumb,stiffness in loins when sitting,1.0,1
sprained pain in thumb,patient wild,1.0,1
sprained pain in thumb,cannot find easy position,1.0,1
sprained pain in thumb,paralytic-like pain in arms,1.0,1
sprained pain in thumb,cracking in knees,1.0,1
sprained pain in thumb,profuse hot sweat,1.0,1
sprained pain in thumb,toothache one-sided,1.0,1
sprained pain in thumb,restlessness of feet at night,1.0,1
sprained pain in thumb,paralytic pain from elbows to fingers,1.0,1
sprained pain in thumb,fine sensitive pressure in articular ligaments,1.0,1
sprained pain in thumb,drawing tearing from knee to ankle,1.0,1
sprained pain in thumb,crawling in calves,1.0,1
sprained pain in thumb,lassitude in limbs,1.0,1
sprained pain in thumb,hip pain after sitting in evening,1.0,1
sprained pain in thumb,numbness at night,1.0,1
sprained pain in thumb,back pains worse at night,1.0,1
sprained pain in thumb,fine sensitive pressure in periosteum of shoulder,1.0,1
sprained pain in thumb,joints sore,1.0,1
sprained pain in thumb,pains drive out of bed,1.0,1
sprained pain in thumb,stitches in thighs,1.0,1
sprained pain in thumb,unendurable pains in hip joint at night,1.0,1
sprained pain in thumb,tension in knees,1.0,1
sprained pain in thumb,pain in periosteum,1.0,1
sprained pain in thumb,toothache worse from warmth of bed,1.0,1
sprained pain in thumb,numbness of toes,1.0,1
sprained pain in thumb,heaviness of calves,1.0,1
sprained pain in thumb,bruised sensation in back muscles,1.0,1
sprained pain in thumb,severe stitches in forearm along bones,1.0,1
sprained pain in thumb,crawling tearing in bones of arm to fingers,1.0,1
sprained pain in thumb,paralytic weakness of thighs,1.0,1
sprained pain in thumb,tearing pains in clavicle region,1.0,1
sprained pain in thumb,violent drawing tearing from left ischium to os calcis,1.0,1
sprained pain in thumb,feet pain worse from motion,1.0,1
sprained pain in thumb,suits nervous excitable women and children,1.0,1
sprained pain in thumb,indescribable pain in thighs on stretching leg,1.0,1
sprained pain in thumb,pains compel walking,1.0,1
patient unruly,fine sensitive pressure to fingers,1.0,1
patient unruly,heat and chilliness mingled,1.0,1
patient unruly,tensive stiffness of cervical muscles,1.0,1
patient unruly,contractive sensation in spine,1.0,1
patient unruly,unendurable toothache,1.0,1
patient unruly,cannot bear slightest motion,1.0,1
patient unruly,leg stitches better from motion,1.0,1
patient unruly,toothache worse at night,1.0,1
patient unruly,pains worse when lying on opposite side,1.0,1
patient unruly,cannot hold anything firmly,1.0,1
patient unruly,other cheek pale,1.0,1
patient unruly,tearing pains in back,1.0,1
patient unruly,cracking of lower limb joints,1.0,1
patient unruly,heat,1.0,1
patient unruly,backache worse when walking,1.0,1
patient unruly,patient is irritable,1.0,1
patient unruly,pain in heart as if weighed down,1.0,1
patient unruly,swelling around malleoli,1.0,1
patient unruly,pain in knees better by drawing feet up,1.0,1
patient unruly,one cheek red,1.0,1
patient unruly,finger joints swollen,1.0,1
patient unruly,faintness about heart,1.0,1
patient unruly,cold perspiration in palms,1.0,1
patient unruly,bruised sensation in loins,1.0,1
patient unruly,patient is peevish,1.0,1
patient unruly,restlessness of legs at night,1.0,1
patient unruly,fretful,1.0,1
patient unruly,toothache worse from cold water,1.0,1
patient unruly,feet paralysis worse at night,1.0,1
patient unruly,right arm asleep on waking,1.0,1
patient unruly,arthritic ophthalmia early in attack,1.0,1
patient unruly,adults sensitive to pain,1.0,1
patient unruly,lameness at night,1.0,1
patient unruly,backache worse when stooping,1.0,1
patient unruly,stitches from knees to ankles,1.0,1
patient unruly,arms go to sleep,1.0,1
patient unruly,patient whines continually,1.0,1
patient unruly,bruised pain in joints,1.0,1
patient unruly,indescribable pain in thighs on rising,1.0,1
patient unruly,thorax feels beaten,1.0,1
patient unruly,one cheek bright red,1.0,1
patient unruly,drawing stinging in back,1.0,1
patient unruly,numbness in arm,1.0,1
patient unruly,tearing pain in whole leg,1.0,1
patient unruly,feet pain requires lying down,1.0,1
patient unruly,arms are numb,1.0,1
patient unruly,redness around malleoli,1.0,1
patient unruly,prostration while pain lasts,1.0,1
patient unruly,bruised pain in thighs,1.0,1
patient unruly,great weakness while pain lasts,1.0,1
patient unruly,stitches in right arm to shoulder,1.0,1
patient unruly,tearing pain in flexors of forearm after waking,1.0,1
patient unruly,faintness,1.0,1
patient unruly,finger joints red,1.0,1
patient unruly,adults whine and complain,1.0,1
patient unruly,stiffness of arm as if going to sleep,1.0,1
patient unruly,violent rheumatic pains at night,1.0,1
patient unruly,excessive impressionability,1.0,1
patient unruly,hot sweat especially while sleeping,1.0,1
patient unruly,rheumatic toothache,1.0,1
patient unruly,unendurable pains in loins at night,1.0,1
patient unruly,sprained pain in index finger,1.0,1
patient unruly,limb pains worse at night,1.0,1
patient unruly,drawing tearing pains in limbs,1.0,1
patient unruly,stitches to finger tips,1.0,1
patient unruly,drawing in scapulae,1.0,1
patient unruly,paralytic weakness,1.0,1
patient unruly,arm stiffness on grasping anything,1.0,1
patient unruly,sprained pain in hip joint on walking,1.0,1
patient unruly,feet go to sleep when stretched out,1.0,1
patient unruly,children soothed by petting,1.0,1
patient unruly,very restless sleep,1.0,1
patient unruly,tearing pain down the leg,1.0,1
patient unruly,pains become intolerable,1.0,1
patient unruly,trembling of legs when going to sleep,1.0,1
patient unruly,fine sensitive pressure in periosteum of arm,1.0,1
patient unruly,electric-like jerking stitches in cervical region,1.0,1
patient unruly,easily excited,1.0,1
patient unruly,tearing pains in throat,1.0,1
patient unruly,joints bruised,1.0,1
patient unruly,pain in calves better by drawing feet up,1.0,1
patient unruly,cramp-like tension of muscles,1.0,1
patient unruly,tearing pain at night,1.0,1
patient unruly,irritability of nervous system,1.0,1
patient unruly,pain seems unendurable,1.0,1
patient unruly,electric-like jerking stitches in left shoulder,1.0,1
patient unruly,feet seem paralyzed,1.0,1
patient unruly,violent drawing tearing to sole of foot,1.0,1
patient unruly,stitches in nates,1.0,1
patient unruly,stiffness in loins when sitting,1.0,1
patient unruly,patient wild,1.0,1
patient unruly,cannot find easy position,1.0,1
patient unruly,paralytic-like pain in arms,1.0,1
patient unruly,cracking in knees,1.0,1
patient unruly,profuse hot sweat,1.0,1
patient unruly,toothache one-sided,1.0,1
patient unruly,restlessness of feet at night,1.0,1
patient unruly,paralytic pain from elbows to fingers,1.0,1
patient unruly,fine sensitive pressure in articular ligaments,1.0,1
patient unruly,drawing tearing from knee to ankle,1.0,1
patient unruly,crawling in calves,1.0,1
patient unruly,lassitude in limbs,1.0,1
patient unruly,hip pain after sitting in evening,1.0,1
patient unruly,numbness at night,1.0,1
patient unruly,back pains worse at night,1.0,1
patient unruly,fine sensitive pressure in periosteum of shoulder,1.0,1
patient unruly,joints sore,1.0,1
patient unruly,pains drive out of bed,1.0,1
patient unruly,stitches in thighs,1.0,1
patient unruly,unendurable pains in hip joint at night,1.0,1
patient unruly,tension in knees,1.0,1
patient unruly,pain in periosteum,1.0,1
patient unruly,toothache worse from warmth of bed,1.0,1
patient unruly,numbness of toes,1.0,1
patient unruly,heaviness of calves,1.0,1
patient unruly,bruised sensation in back muscles,1.0,1
patient unruly,sprained pain in thumb,1.0,1
patient unruly,severe stitches in forearm along bones,1.0,1
patient unruly,crawling tearing in bones of arm to fingers,1.0,1
patient unruly,paralytic weakness of thighs,1.0,1
patient unruly,tearing pains in clavicle region,1.0,1
patient unruly,violent drawing tearing from left ischium to os calcis,1.0,1
patient unruly,feet pain worse from motion,1.0,1
patient unruly,suits nervous excitable women and children,1.0,1
patient unruly,indescribable pain in thighs on stretching leg,1.0,1
patient unruly,pains compel walking,1.0,1
fretful,fine sensitive pressure to fingers,1.0,1
fretful,heat and chilliness mingled,1.0,1
fretful,tensive stiffness of cervical muscles,1.0,1
fretful,contractive sensation in spine,1.0,1
fretful,unendurable toothache,1.0,1
fretful,cannot bear slightest motion,1.0,1
fretful,leg stitches better from motion,1.0,1
fretful,toothache worse at night,1.0,1
fretful,pains worse when lying on opposite side,1.0,1
fretful,cannot hold anything firmly,1.0,1
fretful,other cheek pale,1.0,1
fretful,tearing pains in back,1.0,1
fretful,cracking of lower limb joints,1.0,1
fretful,heat,1.0,1
fretful,backache worse when walking,1.0,1
fretful,patient is irritable,1.0,1
fretful,pain in heart as if weighed down,1.0,1
fretful,swelling around malleoli,1.0,1
fretful,pain in knees better by drawing feet up,1.0,1
fretful,one cheek red,1.0,1
fretful,finger joints swollen,1.0,1
fretful,faintness about heart,1.0,1
fretful,cold perspiration in palms,1.0,1
fretful,bruised sensation in loins,1.0,1
fretful,patient is peevish,1.0,1
fretful,restlessness of legs at night,1.0,1
fretful,toothache worse from cold water,1.0,1
fretful,feet paralysis worse at night,1.0,1
fretful,right arm asleep on waking,1.0,1
fretful,arthritic ophthalmia early in attack,1.0,1
fretful,adults sensitive to pain,1.0,1
fretful,lameness at night,1.0,1
fretful,backache worse when stooping,1.0,1
fretful,stitches from knees to ankles,1.0,1
fretful,arms go to sleep,1.0,1
fretful,patient whines continually,1.0,1
fretful,bruised pain in joints,1.0,1
fretful,indescribable pain in thighs on rising,1.0,1
fretful,thorax feels beaten,1.0,1
fretful,one cheek bright red,1.0,1
fretful,drawing stinging in back,1.0,1
fretful,numbness in arm,1.0,1
fretful,tearing pain in whole leg,1.0,1
fretful,feet pain requires lying down,1.0,1
fretful,arms are numb,1.0,1
fretful,redness around malleoli,1.0,1
fretful,prostration while pain lasts,1.0,1
fretful,bruised pain in thighs,1.0,1
fretful,great weakness while pain lasts,1.0,1
fretful,patient unruly,1.0,1
fretful,stitches in right arm to shoulder,1.0,1
fretful,tearing pain in flexors of forearm after waking,1.0,1
fretful,faintness,1.0,1
fretful,finger joints red,1.0,1
fretful,adults whine and complain,1.0,1
fretful,stiffness of arm as if going to sleep,1.0,1
fretful,violent rheumatic pains at night,1.0,1
fretful,excessive impressionability,1.0,1
fretful,hot sweat especially while sleeping,1.0,1
fretful,rheumatic toothache,1.0,1
fretful,unendurable pains in loins at night,1.0,1
fretful,sprained pain in index finger,1.0,1
fretful,limb pains worse at night,1.0,1
fretful,drawing tearing pains in limbs,1.0,1
fretful,stitches to finger tips,1.0,1
fretful,drawing in scapulae,1.0,1
fretful,paralytic weakness,1.0,1
fretful,arm stiffness on grasping anything,1.0,1
fretful,sprained pain in hip joint on walking,1.0,1
fretful,feet go to sleep when stretched out,1.0,1
fretful,children soothed by petting,1.0,1
fretful,very restless sleep,1.0,1
fretful,tearing pain down the leg,1.0,1
fretful,pains become intolerable,1.0,1
fretful,trembling of legs when going to sleep,1.0,1
fretful,fine sensitive pressure in periosteum of arm,1.0,1
fretful,electric-like jerking stitches in cervical region,1.0,1
fretful,easily excited,1.0,1
fretful,tearing pains in throat,1.0,1
fretful,joints bruised,1.0,1
fretful,pain in calves better by drawing feet up,1.0,1
fretful,cramp-like tension of muscles,1.0,1
fretful,tearing pain at night,1.0,1
fretful,irritability of nervous system,1.0,1
fretful,pain seems unendurable,1.0,1
fretful,electric-like jerking stitches in left shoulder,1.0,1
fretful,feet seem paralyzed,1.0,1
fretful,violent drawing tearing to sole of foot,1.0,1
fretful,stitches in nates,1.0,1
fretful,stiffness in loins when sitting,1.0,1
fretful,patient wild,1.0,1
fretful,cannot find easy position,1.0,1
fretful,paralytic-like pain in arms,1.0,1
fretful,cracking in knees,1.0,1
fretful,profuse hot sweat,1.0,1
fretful,toothache one-sided,1.0,1
fretful,restlessness of feet at night,1.0,1
fretful,paralytic pain from elbows to fingers,1.0,1
fretful,fine sensitive pressure in articular ligaments,1.0,1
fretful,drawing tearing from knee to ankle,1.0,1
fretful,crawling in calves,1.0,1
fretful,lassitude in limbs,1.0,1
fretful,hip pain after sitting in evening,1.0,1
fretful,numbness at night,1.0,1
fretful,back pains worse at night,1.0,1
fretful,fine sensitive pressure in periosteum of shoulder,1.0,1
fretful,joints sore,1.0,1
fretful,pains drive out of bed,1.0,1
fretful,stitches in thighs,1.0,1
fretful,unendurable pains in hip joint at night,1.0,1
fretful,tension in knees,1.0,1
fretful,pain in periosteum,1.0,1
fretful,toothache worse from warmth of bed,1.0,1
fretful,numbness of toes,1.0,1
fretful,heaviness of calves,1.0,1
fretful,bruised sensation in back muscles,1.0,1
fretful,sprained pain in thumb,1.0,1
fretful,severe stitches in forearm along bones,1.0,1
fretful,crawling tearing in bones of arm to fingers,1.0,1
fretful,paralytic weakness of thighs,1.0,1
fretful,tearing pains in clavicle region,1.0,1
fretful,violent drawing tearing from left ischium to os calcis,1.0,1
fretful,feet pain worse from motion,1.0,1
fretful,suits nervous excitable women and children,1.0,1
fretful,indescribable pain in thighs on stretching leg,1.0,1
fretful,pains compel walking,1.0,1
tearing pain down the leg,fine sensitive pressure to fingers,1.0,1
tearing pain down the leg,heat and chilliness mingled,1.0,1
tearing pain down the leg,tensive stiffness of cervical muscles,1.0,1
tearing pain down the leg,contractive sensation in spine,1.0,1
tearing pain down the leg,unendurable toothache,1.0,1
tearing pain down the leg,cannot bear slightest motion,1.0,1
tearing pain down the leg,leg stitches better from motion,1.0,1
tearing pain down the leg,toothache worse at night,1.0,1
tearing pain down the leg,pains worse when lying on opposite side,1.0,1
tearing pain down the leg,cannot hold anything firmly,1.0,1
tearing pain down the leg,other cheek pale,1.0,1
tearing pain down the leg,tearing pains in back,1.0,1
tearing pain down the leg,cracking of lower limb joints,1.0,1
tearing pain down the leg,heat,1.0,1
tearing pain down the leg,backache worse when walking,1.0,1
tearing pain down the leg,patient is irritable,1.0,1
tearing pain down the leg,pain in heart as if weighed down,1.0,1
tearing pain down the leg,swelling around malleoli,1.0,1
tearing pain down the leg,pain in knees better by drawing feet up,1.0,1
tearing pain down the leg,one cheek red,1.0,1
tearing pain down the leg,finger joints swollen,1.0,1
tearing pain down the leg,faintness about heart,1.0,1
tearing pain down the leg,cold perspiration in palms,1.0,1
tearing pain down the leg,bruised sensation in loins,1.0,1
tearing pain down the leg,patient is peevish,1.0,1
tearing pain down the leg,restlessness of legs at night,1.0,1
tearing pain down the leg,fretful,1.0,1
tearing pain down the leg,toothache worse from cold water,1.0,1
tearing pain down the leg,feet paralysis worse at night,1.0,1
tearing pain down the leg,right arm asleep on waking,1.0,1
tearing pain down the leg,arthritic ophthalmia early in attack,1.0,1
tearing pain down the leg,adults sensitive to pain,1.0,1
tearing pain down the leg,lameness at night,1.0,1
tearing pain down the leg,backache worse when stooping,1.0,1
tearing pain down the leg,stitches from knees to ankles,1.0,1
tearing pain down the leg,arms go to sleep,1.0,1
tearing pain down the leg,patient whines continually,1.0,1
tearing pain down the leg,bruised pain in joints,1.0,1
