Cluster_ID,Remedy,Chapter,Symptom,Area,Modalities
NOISE,Aurum Muriaticum Natronatum,Female,Infertility,Female reproductive,"No menstrual period since March 1982, positive pregnancy test in June 1982, first pregnancy after 15 years of marriage, normal delivery of healthy boy at age 42"
NOISE,Ornithogalum,Abdomen,Stomach cancer,Stomach,"Writhing in agony, unable to retain food long, better by warm foods, worse by cold drinks, pains worse at night, spreading to hands and between shoulders, visible bulging beneath diaphragm to scrobiculus cordis"
NOISE,Myristica Sebifera,Joints,Inflammation with pus,"Knee, shoulder","Knee inflammation with doughy swelling, pus in joint, ankylosed knee post-treatment; shoulder joint full of pus, painful spot on scapula, no suppuration after 10 days, normal joint size"
NOISE,Calcarea Hypophosphorosa,Joints,Abscesses around knee joint,"Knee, tibia","Multiple abscesses, ulceration attacking tibia, half eaten off, ragged necrosed bone protruding, patient emaciated, no appetite, pale, complete recovery except bent tibia"
NOISE,Rhus Toxicodendron,Joints,Rheumatoid arthritis,"Cervical region, lumbo-sacral region, proximal interphalangeal joints (PIP), distal interphalangeal joint (DIJ)","Pricking pain in cervical region (left side), stiffness, pain in lumbo-sacral region extending to both lower extremities, pain in PIP joints of both hands, nodes in joints with unbearable pain, worse after lifting heavy weight, worse since humiliation incident, no improvement with acute prescription"
NOISE,Bryonia,Joints,Rheumatoid arthritis,"Cervical region, lumbo-sacral region, proximal interphalangeal joints (PIP), distal interphalangeal joint (DIJ)","Pricking pain in cervical region (left side), stiffness, pain in lumbo-sacral region extending to both lower extremities, pain in PIP joints of both hands, nodes in joints with unbearable pain, mild improvement in lumbar pain, cervical pain and PIP pain increased"
NOISE,Ferrum Phosphoricum,Joints,Rheumatic fever with joint pain and swelling,"Joints, muscles","Worse from motion, fever 102°F"
NOISE,Natrum Sulphuricum,Joints,Rheumatoid arthritis,"Proximal interphalangeal (PIP), metacarpophalangeal (MCP), wrist, elbow, ankle, metatarsophalangeal (MTP) joints","Pain, swelling, severe morning stiffness, symmetrical involvement, aggravates in morning, cold and rainy weather, no joint deformity, gradual reduction in intensity during the day"
NOISE,Natrum Sulphuricum,General,Poor appetite,General,"Frequent spells of indigestion, uses allopathic medication, desire for sweet, sour, meat, aversion to milk, intolerance to fish and aquatic vegetables causing dyspepsia and increased articular pain"
NOISE,Natrum Sulphuricum,Mental,Irritability and impulsiveness,Mind,"Tendency to throw things, abuse others, suicidal inclination, introverted, disinclination to speak, good memory"
NOISE,Calcarea Phosphorica,General,Debility,General,"Much anaemic, exhaustion, worse from motion, chilliness"
NOISE,Kali Carbonicum,Joints,Rheumatism and arthritis,"Fingers, wrists, ankles, toes","Stiffness, swelling, pain, worse in cold air, winter, motion, morning, better from warmth"
NOISE,Colchicum,Joints,Rheumatism and arthritis,"Fingers, wrists, ankles, toes","Stiffness, swelling, pain, worse in cold air, winter, motion, morning, better from warmth"
NOISE,Calcarea Fluorica,Joints,Rheumatism and arthritis,"Fingers, wrists, ankles, toes","Stiffness, swelling, pain, worse in cold air, winter, motion, morning, better from warmth"
NOISE,Cimicifuga,Joints,Rheumatoid arthritis,"Cervical region, lumbo-sacral region, proximal interphalangeal joints (PIP), distal interphalangeal joint (DIJ)","Pricking pain in cervical region (left side), stiffness, pain in lumbo-sacral region extending to both lower extremities, pain in PIP joints of both hands, nodes in joints with unbearable pain, 25% improvement but symptoms persist"
NOISE,Staphysagria,Joints,Rheumatoid arthritis,"Cervical region, lumbo-sacral region, proximal interphalangeal joints (PIP), distal interphalangeal joint (DIJ)","Pricking pain in cervical region (left side), stiffness, pain in lumbo-sacral region extending to both lower extremities, pain in PIP joints of both hands, nodes in joints with unbearable pain, worse after lifting heavy weight, worse since humiliation incident, swelling in DIJ of left index finger, swan neck deformity, tenderness in swelling and PIP joints, marked improvement with constitutional treatment, reduced node formation, 75% symptom reduction, DAS-28 ESR reduced from 4.8 to 2.5 (remission)"
NOISE,Staphysagria,General,Hot patient,General,"Desires open air, aggravated by lying on left side, ameliorated by lying on right side, good appetite, thirst for 5 liters/day, no dryness"
NOISE,Staphysagria,Mental,Suppression of anger and emotions,Mind,"Sentimental, yielding, loyal, courageous, suicidal tendency, feels betrayed, workaholic, complaints after mortification"
NOISE,Staphysagria,Ear,Blockage of left ear,Ear,"Triggered by increased neck pain, no history of CSOM, ASOM, or tinnitus"
NOISE,Thuja Occidentalis,Joints,Rheumatoid arthritis,"Proximal interphalangeal (PIP), metacarpophalangeal (MCP), wrist, elbow, ankle, metatarsophalangeal (MTP) joints","Persistent pain in elbow and ankle, left side more painful, worse at rest and during damp weather, especially rainfall, marked improvement in pain and stiffness, no swelling in joints, patient able to pursue daily activities without pain"
