Cluster_ID,Remedy,Chapter,Symptom,Area,Modalities
0,medorrhinum,heart,dull pain in heart and left arm,heart,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,heart,sensation as if left hand were swollen,heart,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,lameness and stiffness of larger joints,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,rheumatic pains here and there,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,chronic rheumatic pains in cold damp weather,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,rheumatic pains in extremities of extreme severity,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,aching in hips and knee joints making walking difficult,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,aching as if in bones all night preventing sleep,bones,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,sensation as if flexor muscles were too short,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,drawing under knees and in ankles,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,aching pain in legs with inability to keep still in bed,legs,"with inability to keep still in bed, aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,right knee painful red and swollen,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,rheumatic pains in calves,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,lack of power in legs,legs,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,pains in crural and sciatic nerves of left side,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,acute pains in tendo achillis,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,rheumatism of ankles with complete loss of power,,"with complete loss of power, aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,soreness of ball of foot under the toes,toes,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,swelling and inflammation of right great toe,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,inferior extremities,pains shooting when sitting still,,"when sitting still, aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,drawing in cords of neck causing desire to throw head back,neck,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,drawing pain in sternomastoid muscle drawing chin firmly down to chest,sternomastoid muscle drawing chin firmly down to chest,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,pain in neck and between scapulae running to either shoulder to lumbar region,neck,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,agonizing pains across and through both shoulders,shoulders,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,contractive pains across scapulae passing down spine,spine,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,drawing shoulders back tightly as if bones would be crushed,shoulders,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,tenderness and stiffness of muscles of back extending whole length,back,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,lame back lumbar and sacral extending down legs,back,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,neck and back,tension in lumbar region extending down posterior thighs,neck and back,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,superior extremities,rheumatic pain in left shoulder,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,superior extremities,rheumatic pain in right shoulder,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,superior extremities,cracking in joints especially elbows,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,superior extremities,cramping pains in first and second fingers of right hand,fingers,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,superior extremities,shooting pains in left wrist,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,superior extremities,rheumatism of wrists with complete loss of power,,"with complete loss of power, aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
1,chamomilla,concomitants,absentmindedness,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,easily excited,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,fretful,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,excessive impressionability,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,irritability of nervous system,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,great weakness while pain lasts,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,prostration while pain lasts,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,patient wild,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,patient unruly,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,heat,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,anxiety,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,restlessness,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,heat and chilliness mingled,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,one cheek bright red,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,other cheek pale,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
1,chamomilla,concomitants,profuse hot sweat,,"aggravates with at night, aggravates with after becoming cold, aggravates with while lying down, aggravates with after suppression of perspiration, aggravates with during sleep, aggravates with warmth of bed, ameliorates with while fasting, ameliorates with after perspiring, ameliorates with on rising"
